# 2018-01-09
geneSymbol	Estimate	Std..Error	t.value	CI_2.5	CI_97.5	pvalue	down_pval	up_padj	down_padj	up_rank	down_rank	chisq	chi_df	GSE48622_intercept	GSE63617_intercept	GSE36237_intercept	GSE48622_FE_Disease	GSE63617_FE_Disease	GSE36237_FE_Disease	FE_Gender	Gender	ME_model
Irgm2	-0.490227009459202	0.102658006993758	-4.77534119173978	NA	NA	1.48565037862007e-05	7.42825189310033e-06	0.999992571748107	0.0794323188449686	10856	1	18.7558741065126	1	6.10635007737127	7.44416406216434	5.50696682068669	-0.490227009459202	-0.490227009459202	-0.490227009459202	NA	NA	random_intercept
Pcdhb12	-0.297985505202665	0.0647310702877417	-4.60343856324427	NA	NA	2.92676193238646e-05	1.46338096619323e-05	0.999992571748107	0.0794323188449686	10855	2	17.4648040070388	1	7.18192549665029	6.0482521233374	6.13150723979592	-0.297985505202665	-0.297985505202665	-0.297985505202665	NA	NA	random_intercept
Cgrrf1	-0.225565141365256	0.0507653542139277	-4.44328902768437	NA	NA	4.89615260812917e-05	2.44807630406459e-05	0.999992571748107	0.0885877211897505	10854	3	16.4879007535735	1	8.81534318130628	7.76052270274915	8.3329082068144	-0.225565141365256	-0.225565141365256	-0.225565141365256	NA	NA	random_intercept
Wbp11	-0.36265754046217	0.0846578288298681	-4.2838039372706	NA	NA	7.43136738994386e-05	3.71568369497193e-05	0.999992571748107	0.100843655481538	10853	4	15.6977205561311	1	10.9910635538248	11.9475964278386	11.7073393313129	-0.36265754046217	-0.36265754046217	-0.36265754046217	NA	NA	random_intercept
Src	-0.289313847749903	0.068479330292375	-4.22483465470043	NA	NA	9.36625366257448e-05	4.68312683128724e-05	0.999992571748107	0.101680049760909	10852	5	15.2603410455993	1	8.68720271175781	8.59067811824084	9.83538733114564	-0.289313847749903	-0.289313847749903	-0.289313847749903	NA	NA	random_intercept
Svip	-0.108458240628808	0.0262478263593803	-4.13208465889014	NA	NA	0.000126920758169635	6.34603790848175e-05	0.999992571748107	0.11482097922413	10851	6	14.6869693647495	1	10.5333357296043	10.9188631778887	10.4760327168082	-0.108458240628808	-0.108458240628808	-0.108458240628808	NA	NA	random_intercept
Smo	-0.23853237288373	0.0586155435943924	-4.06943889379113	NA	NA	0.000157422386165216	7.8711193082608e-05	0.999992571748107	0.118810798398041	10850	7	14.2812838044887	1	7.5898130951813	10.5305835428137	7.57762319872272	-0.23853237288373	-0.23853237288373	-0.23853237288373	NA	NA	random_intercept
Ddx39b	-0.125606960130372	0.0311798329477343	-4.02846802742411	NA	NA	0.000175108030063436	8.75540150317181e-05	0.999992571748107	0.118810798398041	10849	8	14.0809533491568	1	12.1197639418668	12.1229058736335	12.4362970447863	-0.125606960130372	-0.125606960130372	-0.125606960130372	NA	NA	random_intercept
Txnl4a	-0.173919820347928	0.0444634815202172	-3.91152051979662	NA	NA	0.000257892749297097	0.000128946374648548	0.999992571748107	0.155537982576071	10848	9	13.3538491880343	1	10.8781586223654	12.1292947665378	11.3192115521052	-0.173919820347928	-0.173919820347928	-0.173919820347928	NA	NA	random_intercept
Vamp3	-0.14113090249673	0.0365717590027875	-3.85901324806315	NA	NA	0.000312033541847103	0.000156016770923551	0.999992571748107	0.169337156034551	10847	10	12.9967412841241	1	10.9323376773621	6.04821553536499	10.2786967543085	-0.14113090249673	-0.14113090249673	-0.14113090249673	NA	NA	random_intercept
Sdf4	-0.109102601445548	0.0288181623942074	-3.78589723914798	NA	NA	0.000383679630105712	0.000191839815052856	0.999992571748107	0.169337156034551	10846	11	12.6100432372337	1	10.9979240097223	11.0952522994779	11.5897123723142	-0.109102601445548	-0.109102601445548	-0.109102601445548	NA	NA	random_intercept
Bmi1	-0.105719246158082	0.0279964015987341	-3.77617265509087	NA	NA	0.000404346854741901	0.000202173427370951	0.999992571748107	0.169337156034551	10845	12	12.5119984859747	1	10.3929825921367	9.35544279517162	10.9765163197545	-0.105719246158082	-0.105719246158082	-0.105719246158082	NA	NA	random_intercept
Snhg5	-0.152613929991833	0.0406088861042674	-3.75814125016828	NA	NA	0.000427718806650374	0.000213859403325187	0.999992571748107	0.169337156034551	10844	13	12.4070377837617	1	8.7180243045661	9.4587804911106	7.58278554642648	-0.152613929991833	-0.152613929991833	-0.152613929991833	NA	NA	random_intercept
Slc7a8	-0.280758128569169	0.075270576903091	-3.72998507678024	NA	NA	0.00046025990971129	0.000230129954855645	0.999992571748107	0.169337156034551	10843	14	12.2701555319766	1	8.97479723719776	10.7996837257237	8.95795526713455	-0.280758128569169	-0.280758128569169	-0.280758128569169	NA	NA	random_intercept
