# 2018-03-29
geneSymbol	Estimate	Std..Error	t.value	CI_2.5	CI_97.5	pvalue	up_pval	up_padj	down_padj	up_rank	down_rank	chisq	chi_df	GSE48622_intercept	GSE64398_intercept	GSE63617_intercept	GSE36237_intercept	GSE48622_FE_Disease	GSE64398_FE_Disease	GSE63617_FE_Disease	GSE36237_FE_Disease	FE_Gender	Gender	ME_model
Dhx35	0.119508674059099	0.0310742591547522	3.84590581754295	0.058128477935417	0.180879904735203	0.000185210680653682	9.26053403268412e-05	0.0883492902011545	0.999999986162125	11	10868	13.975476684305	1	7.1984236217981	8.98690127009992	8.69303095227285	6.52628927647754	0.119508674059099	0.119508674059099	0.119508674059099	0.119508674059099	NA	F	random_intercept
Gck	0.234314594463352	0.0612022223174336	3.82853082112031	0.11340526260798	0.355175681333304	0.000197964685500646	9.89823427503231e-05	0.0883492902011545	0.999999986162125	12	10867	13.8503042195652	1	5.40067221966563	6.39262102536002	5.40829198434652	5.22241346230731	0.234314594463352	0.234314594463352	0.234314594463352	0.234314594463352	NA	F	random_intercept
Acat2	0.155586258789678	0.0406592324238092	3.82659114584193	0.075185493798772	0.236037606548236	0.000211167636075567	0.000105583818037784	0.0883492902011545	0.999999986162125	13	10866	13.729008296929	1	11.3202021798024	9.73167917057766	NA	10.70022220972	0.155586258789678	0.155586258789678	NA	0.155586258789678	NA	F	random_intercept
Rnase1	0.234977299202609	0.0629796196091953	3.73100537381305	0.110442674718935	0.359345465888355	0.000286712891887155	0.000143356445943578	0.103896999611251	0.999999986162125	14	10865	13.1552623300485	1	5.1894435644692	6.32846799354374	5.90202407486517	5.49017132879354	0.234977299202609	0.234977299202609	0.234977299202609	0.234977299202609	NA	F	random_intercept
Fam229b	0.117084964966245	0.03146184858933	3.72149031973772	0.0549456302873346	0.179227530684363	0.000289698155642993	0.000144849077821496	0.103896999611251	0.999999986162125	15	10864	13.1358542808604	1	8.23159005963398	9.79675974596681	6.28140694398203	7.43774281088994	0.117084964966245	0.117084964966245	0.117084964966245	0.117084964966245	NA	F	random_intercept
Tecr	0.0977759000385876	0.0264608422917517	3.69511669207394	0.0455142613078362	0.150041018097708	0.000318226771692545	0.000159113385846273	0.103896999611251	0.999999986162125	16	10863	12.9599435719475	1	13.0461413260248	13.4630388513971	11.3504955027648	13.4327952784139	0.0977759000385876	0.0977759000385876	0.0977759000385876	0.0977759000385876	NA	F	random_intercept
Glra2	0.24324318906539	0.0659379978325768	3.68896838031098	0.113019897421529	0.373493468367689	0.000324737818237041	0.00016236890911852	0.103896999611251	0.999999986162125	17	10862	12.9220281265058	1	8.22581734257254	9.38435443217693	6.08078624496205	5.64050432781402	0.24324318906539	0.24324318906539	0.24324318906539	0.24324318906539	NA	F	random_intercept
Tonsl	0.141481076318411	0.0387484617072819	3.65126949779848	0.064917790575823	0.217998036965222	0.000375173014086105	0.000187586507043053	0.113364779089685	0.999999986162125	18	10861	12.6519556777485	1	6.55947640380548	7.31169659329791	7.74517015742959	6.61392146513507	0.141481076318411	0.141481076318411	0.141481076318411	0.141481076318411	NA	F	random_intercept
Prokr2	0.232784981272363	0.0643441611286534	3.61781049265557	0.105723311591005	0.359915214239782	0.000416090733813517	0.000208045366906759	0.119111447432196	0.999999986162125	19	10860	12.4585144744785	1	6.21714756913197	6.60899448486384	5.38291993607409	5.70214225580443	0.232784981272363	0.232784981272363	0.232784981272363	0.232784981272363	NA	F	random_intercept
Nosip	0.129721566866813	0.0362371090548702	3.57979900301617	0.058135301915546	0.201284433586086	0.000479863595112266	0.000239931797556133	0.130498904690781	0.999999986162125	20	10859	12.1923319225701	1	8.85288278273822	8.99241332955111	10.5085064365579	9.08052572016478	0.129721566866813	0.129721566866813	0.129721566866813	0.129721566866813	NA	F	random_intercept
