#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL1261
#No probes removed from annotation.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE48622_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 45101
#number of samples: 16
#Factor: Genotype (4 levels): APLP2_KO: n=4, APP_KO: n=4, N_dC_KO: n=4, WT: n=4
#Factor: OrganismPart (1 levels): Hippocampus: n=16
#Factor: Gender (1 levels): M: n=16
#Factor: Timepoint (1 levels): 2_months: n=16
#
#
### Model test for factor: Genotype
#p-value: 0.00185810259124436; Statistic: 10.6778138012394; Expected: 7.10935249061018; Std.dev: 1.0210957622975; #Cov: 45101
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE48622
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE48622/results/GSE48622_objects.Rdata
#
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#16 samples, 45101 probes
#coefficients: (Intercept), GenotypeAPLP2_KO, GenotypeAPP_KO, GenotypeN_dC_KO
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeAPLP2_KO
#  DE genes: 58, up: 25, down: 33
#GSE48622_APLP2_KO: original input has 45101 probesets; mapped probesets: 29960; probes mapped to multiple genes to be removed (except for insulin): 631; genes with multiple probesets are BH corrected. New data has 17681 genes.
GSE48622_APLP2_KO	GeneSymbols
0.00336112777836414	Cdc14b
0.00336291326360621	Usp18
0.00350347389732227	Tmem143
0.00351907243360196	Ptk2b
0.00354206850573895	Rhot2
0.00356067624529045	Dnajb11
0.00361327044507858	Pstpip2
0.00362336248770291	Pkp2
0.00363122559087722	Ifi35
0.00367508854229253	Arsg
0.00367953011273857	Tapbpl
0.00373989820907674	Pex5l
0.00375397402230627	Nnmt
0.00378508585801722	Mfn1
0.00378808333132891	Clec4a2
0.00387971940964289	Bace1
0.00389454595749588	Pts
0.00390999954072009	Cwc22
0.00403087938959089	Mphosph6
0.00405255476486169	Khdrbs1
0.00407054770904816	Lgals3
0.00408033201923242	2810002D19Rik
0.00409432335160777	Prl8a8
0.004141976349689	Actl6a
0.00421341397762761	Slc30a7
0.00426865784187061	Lactb
0.00429024615937258	Usf2
0.00434842770207745	Sh3bp1
0.00434866711164913	Prim1
0.004353858593989	Tyrobp
0.00437192843561329	Slc9a2
0.00440783861556733	Ccl12
0.00441935515130215	Ddrgk1
0.00449219432142992	Tnfaip6
0.00453526444080415	Prcd
0.00456986007213703	Ccdc84
0.00463499336492296	Hells
0.00467135760136605	5033403F01Rik
0.00471196459295695	1700102P08Rik
0.0047522708968189	Smug1
0.00477125119696865	Pcdhb12
0.00479889332152474	Neurog2
0.00483056985260887	Dock2
0.00486095930041695	Dbi
0.00487367430268998	Ccl9
0.00499708967203389	Zfp712
0.00508753264266547	E4f1
0.00509894710825044	Ly6g6e
0.00510672417813178	Nrf1
0.00514116373248284	BC031361
0.00514581586165141	Nrde2
0.00516271514018505	Ddx27
0.0051805345616686	Syngr2
0.0052013760486513	Smad6
0.00520872202202592	Il1rl1
0.00523224728011226	Trim14
0.00526620027347666	Cd68
0.00526845846586013	Phtf2
0.00538861193988261	3110039I08Rik
0.00540514904102307	Arpp19
0.00545208977511732	Itpk1
0.00546394478792811	Rnf166
0.00547129529604564	Abca4
0.00553502879384671	Slc4a5
0.00556669335184145	4933422A05Rik
0.00561297622288576	Pdia6
0.00562647969807016	Polr3gl
0.00568311320769789	Rbm47
0.00571489446044411	Stk11ip
0.00574767215455367	Sf3b2
0.00575735347391396	Pclaf
0.0059102536225626	Slc26a4
0.00594897730625798	Alox5ap
0.0060505946530524	Etfbkmt
0.00611921238500443	1700112E06Rik
0.00617016710735328	Sqrdl
0.00617862573821572	Stim2
0.00624720340955236	Tmem204
0.0062956287821263	A430035B10Rik
0.00633376370231464	Pkn1
0.0063898390460592	Prtg
0.00649213819448429	Ltk
0.00652142078143244	Galnt10
0.0065520625857003	Ctif
0.00664499467917138	B4galt7
0.00665287077019512	Rpl12
0.00665702451802994	C230035I16Rik
0.0066579182162356	Piga
0.00668646399493508	Ms4a10
