#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL1261
#No probes removed from annotation.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE48622_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 45101
#number of samples: 16
#Factor: Genotype (4 levels): APLP2_KO: n=4, APP_KO: n=4, N_dC_KO: n=4, WT: n=4
#Factor: OrganismPart (1 levels): Hippocampus: n=16
#Factor: Gender (1 levels): M: n=16
#Factor: Timepoint (1 levels): 2_months: n=16
#
#
### Model test for factor: Genotype
#p-value: 0.00185810259124436; Statistic: 10.6778138012394; Expected: 7.10935249061018; Std.dev: 1.0210957622975; #Cov: 45101
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE48622
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE48622/results/GSE48622_objects.Rdata
#
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#16 samples, 45101 probes
#coefficients: (Intercept), GenotypeAPLP2_KO, GenotypeAPP_KO, GenotypeN_dC_KO
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeN_dC_KO
#  DE genes: 254, up: 58, down: 196
#GSE48622_N_dC_KO: original input has 45101 probesets; mapped probesets: 29960; probes mapped to multiple genes to be removed (except for insulin): 631; genes with multiple probesets are BH corrected. New data has 17681 genes.
GSE48622_N_dC_KO	GeneSymbols
0.000334282220787687	Btnl2
0.000337598098743329	Tmem119
0.000340139532732782	Myl4
0.000340263403261196	Fcrls
0.000341789912595823	Etnppl
0.000347112263256015	Tnnt2
0.000354227128754378	Ttyh2
0.000355143687940464	Rdh5
0.000363500599688079	Ccdc153
0.000379275498337553	Ostf1
0.000379430816628113	Dnaja4
0.000391382526071945	Ctsc
0.000395693144860909	Ang
0.000398545124506709	Pcp4l1
0.000402874745693567	Anxa4
0.000403611907632463	Emcn
0.000407206411293088	Gm15417
0.000407450016768121	Ms4a6b
0.000408436859263387	Syngr2
0.000414739699780018	Hlcs
0.00041991305408998	Trim30d
0.000426674512137518	Tlr7
0.000428238347913234	Nudt6
0.000433630625318257	Pqlc3
0.000442478817343589	Bst2
0.000443175876706574	Adh1
0.000449091431277644	Pex5l
0.000449955593859844	Cd68
0.000453856064838678	Oasl2
0.000466956542452472	Prlr
0.00047125834162113	Slco1a5
0.000475680428824744	Itgam
0.000479658511865698	Bco2
0.000482459148328693	5730508B09Rik
0.000482792133412851	Higd1b
0.000489708264476608	Etfbkmt
0.000491525323810423	Nxpe4
0.000496260188156917	Hmbs
0.000503187064631529	Npy2r
0.00050711691611153	Pcolce
0.000539129545295811	Atm
0.000551086622061754	Serpinb6a
0.000552535951824156	Nt5dc1
0.00055299360002156	Hpgd
0.000566990098832053	Prkcq
0.00059726161247873	Rab33a
0.000599970953558968	Pcdhb12
0.000607500410486498	Ptprc
0.000608741029406107	Fdft1
0.000621107080966367	Cfap126
0.000638699617886967	Evc2
0.000651161260361982	Ogn
0.000652000831617138	Akr1c18
0.000662050870752462	Cers4
0.000665273729734941	Cox8b
0.000666211293404478	Ptpn13
0.000680188202525386	Bcas3
0.00068046439664766	Qpct
0.000682385083136966	Grb14
0.000683733805758393	Coro2b
0.000685459225244125	Sgpp1
0.000690135027183973	Cers2
0.00069532350343129	Krt2
0.000697765981317581	Msx1
0.000710840234791853	Wfdc18
0.000718059637823179	Rhog
0.000738533525824954	Elovl7
0.000749564137072646	Tmem98
0.000749592041196942	Emb
0.000762174799853091	Adpgk
0.000764384064594883	Tc2n
0.000778613762428331	Ggh
0.000780726060295158	Lactb
0.0007831384568503	Smad6
0.00078701900542343	Vat1l
0.000794904052983154	Carhsp1
0.000797494359274046	Slc2a12
0.000801306713208606	Zfp595
0.000801787512839547	Dcun1d1
0.000801920985191494	Vps26b
0.000806938462942035	Xaf1
0.000817740164171756	Nipal4
0.000843053082516882	Gcnt1
0.000847140460992918	Rpp25
0.000852184313115928	Usp18
0.000857670493925183	Endod1
0.000860457063963419	Cpq
0.000862729509469348	Sh3tc2
0.000864872181203552	Rps6
0.000869164137177349	Ifi27l2a
0.00087283347028335	Tmem125
0.000882602856735917	Il20rb
0.00088493514532653	Itgb5
0.000900210992188876	Clec4a2
0.000910898012367622	Sncg
0.000912282688333709	Pllp
0.000918405366444659	Nlrx1
0.000934259846798193	Brwd3
0.000942216604894987	Pdlim2
0.000943131505641658	Wnt3
0.00094369950805681	Krt8
0.000946587234466034	Nt5dc2
0.000948338417660157	Trip6
0.000950825658968483	Gsn
0.000953467555705444	Rps4l
0.000960708980699887	Skap2
0.000981333239717133	Pifo
0.00098507330153861	Mlh1
0.000990820756047087	Arrdc3
0.00102060459173972	Iqub
0.00103631187467477	Mcur1
0.00103798773182994	Cyp2d22
0.00104558190414383	Nfe2l3
0.00105624524970721	Rrbp1
0.00106438660047674	Brms1
0.00106538215881813	Ooep
0.00106806818042224	Rbms1
0.00107382854971729	Mcam
0.00107882202544769	Krt10
0.00108348781542419	Opalin
0.00109617814375265	B2m
0.00111658475169716	Tmem72
0.00111879168408205	St5
0.00112275077063576	BC006965
0.00112292014309084	Tspan2
0.00114335004431425	Fam83d
0.00114436162705391	Pdia4
0.00116099159848931	Stk39
0.00117291997897686	Faah
0.00117730063123483	Pttg1
0.00117825592421148	Scnm1
0.00118205466233803	Baiap2l1
0.00119558399015697	Siglech
0.00121040179348158	Fmo2
0.00122056244336531	Ace
0.00122416822788094	Col5a3
0.00123948313173959	Mdh1b
0.00124572780133735	Rida
0.00124670935308848	Strip2
0.00126094137339805	Sowahc
0.00126288895223267	Anln
0.00127361127943915	Tprn
0.00128908771833583	Ppp1r14a
0.00129535760872791	Myof
0.00130074099496145	Trem2
0.00131621154811417	Aspa
0.00132927785128709	Fam183b
0.00133852547944285	Zfp874a
0.00134923448716634	Plekhb1
0.00134972881624437	Tmed4
0.00137699134303621	Cdc42ep2
0.00138552760510471	Ucp2
0.00139969416472088	Plekhg1
0.00140613669113745	Ptk2b
0.00145058742956098	Ermn
0.00147227652576672	Col4a3
0.00147703573379599	Specc1
0.00148636988372326	Tmbim4
0.00148944264765472	Lce1i
0.00149323788124212	Birc2
0.00149935488633811	Gpx1
0.00149950494915515	Arpc1b
0.00150259998488267	Wipf1
0.00150877326100587	Enpp4
0.0015107022273848	Myoc
0.00151457527149807	Apod
0.0015174819337654	Steap2
0.00152619184866336	Pla2g16
0.00153844526841969	Rpl21
0.00154007591505204	Ifitm3
0.00155150035830264	Gal3st2
0.00155422546296376	Gamt
0.00156210578118811	Parp12
0.0015649158406215	Fermt3
0.00156515145442295	Plpp1
0.00159060631450121	Ttf1
0.00160651466213149	Sgk2
0.00161279603960077	Defb9
0.00163325273390248	Plekha2
0.00163466450734323	Degs1
0.00163514355602503	Lrrc2
0.00164431867831878	Prtg
0.00164541444351882	Mlxipl
0.00165371807306093	Bicc1
0.00165955366837842	Lpar1
0.00166055855247293	Ddx60
0.00166278622383903	Sema3b
0.00166861102443509	Svopl
0.00170082771866677	Glt8d2
0.00170868818269886	Actl6a
0.00172551710584323	Panx3
0.00172668974449993	Lpxn
0.00174505958798832	Pdgfd
0.00174744755656001	Tmem143
0.00175111529992478	Mal
0.001756493435239	Haus3
0.00175741886122408	Angptl1
0.00175903076984386	Nudt4
0.0017975369377325	Cd82
0.00179856858272799	2300009A05Rik
0.00180339287554237	Ccdc113
0.001805878362801	Wdr78
0.0018131377471632	Arsj
0.00181911751036603	Mxra7
0.00182450606949651	Kcnab2
0.0018432705432011	H2-DMa
0.00186907130911058	St6galnac2
0.00186967672843443	Tmem184a
0.00190380616578373	Xpnpep2
0.00190525978665358	4930406D18Rik
0.00190574347945798	Trappc5
0.00191011397918477	Cdr2
0.00191166487396987	Myrf
0.00193273915299866	Capsl
0.00194734955991623	Dnlz
0.00195765636909988	Gbp6
0.00196415785381033	Rnf13
0.0019726490059339	9430065F17Rik
0.00197480157884173	Oaz3
0.0019897181315814	Lamp2
0.00199721031238138	Akip1
0.00201388940957307	Wdsub1
0.00202851342429562	Dusp16
0.00203897042133727	Lepr
0.00204549750573195	Sypl
0.00205589848378344	Paqr5
0.00207593102579266	Sept10
0.00208046054272826	Tifab
0.00210494236104171	Cxcl12
0.00210999655530489	Elk1
0.00211423480422781	Foxn3
0.00211837873427611	Spag6l
0.00213871075047248	Dpagt1
0.00214328539772054	Olfr155
0.00214958115817498	Med30
0.00215548683302908	Cdkn1c
0.00216323647764163	4930579G24Rik
0.00217544827117322	Cp
0.00217715949314438	Dydc2
0.00218715451029769	Postn
0.00219121185014401	Smim1
0.00220401527387158	Ctsl
0.00222403568935572	Sema3d
0.00223058194436297	Dock10
0.00224681213973575	Smco3
0.0022578241603849	Mag
0.00226108662939866	Hhip
0.00227504912507876	Ccdc12
0.00227660881919894	Srgn
0.00228866383018098	Rps6kl1
0.00228966943490177	Tnfaip6
0.00229764072644182	Gpr62
0.00230830948761792	Cryz
0.00232709547798841	Trip4
0.00236233931635612	Cfh
0.00236973811004601	Pdxdc1
0.00237282956121125	Elovl1
0.00237317578460608	Cep95
0.0023791187153555	D16Ertd472e
0.00237928141937593	Spint2
0.00239153823582294	Igfbp2
0.00241304093141011	Lypd1
0.0024292609933766	Rap1a
0.00247908847787365	Tdgf1
0.00248061553835341	Ormdl2
0.00248468584568494	Spa17
0.0025052447480183	Mgst1
0.00251195063879909	9630013A20Rik
0.00254447571553684	Cyp7a1
0.00255688722212859	Trim25
0.00257999964867403	Dnali1
0.00259435944246781	Llgl2
0.00259848129626382	Fcgr2b
0.00260840885182891	Ppp1r3b
0.00261414707555857	Tbc1d8b
0.00264860024072966	Acad8
0.00265791788880327	Arhgef18
0.0026962022430965	Prps2
0.00270569418837803	Csf1r
0.00271335983184732	Myl12a
0.00280687162293295	Dynlrb2
0.00281406895678479	Serinc5
0.00282160251461692	Il1r1
0.00282267465351533	Ccdc146
0.00286258989684147	Odf2l
0.00288909731395821	Nsmce3
0.00289748534735505	Ankef1
0.002897775000029	Vamp3
0.0029025715406731	Mlf1
0.00290964820274075	Stox1
0.00292340363423631	Plxnb2
0.00292958759918712	Cd46
0.00293476765900566	Gjc2
0.00293758291117435	Pex2
0.00295253640698894	Arhgap30
0.00298298160327844	Nudt7
0.00302310228541409	Acot5
0.00303169362701306	Myo1d
0.00303631637940081	Etfb
0.00304142761404607	Ugt8a
0.00305077173863553	Ptpn6
0.00311606435031871	Armc3
0.00312455948070443	Npc2
0.00312918646952323	Tgfbr2
0.00313878622312097	Nid2
0.00315097202522739	Eci1
0.00317289347672531	Mog
0.0031793356756634	Fbln1
0.00319834534359494	Kat2b
0.00321507184337059	Sh3bp1
0.00326874237206549	Was
0.00329238203013176	Ccp110
0.00331127913768539	S100a11
0.00331897480117396	Metrn
0.00333599641577461	Slco2b1
0.00335577371501341	Sgk3
0.00338159230896449	Wdpcp
0.00339083532872172	Ikzf1
0.00339307461321608	Gbp3
0.00348280296121827	Rtkn
0.00348414317029444	Slc16a8
0.00350134353137708	Acaa2
0.00350301844418435	Slc25a20
0.00351640347251964	Anxa11
0.00352167265713311	Herc6
0.00352311747602665	Cnp
0.00357293116654811	Jun
0.00358511671937166	Wfikkn2
0.00359729996546106	S100a16
0.00363544620252629	Lrrfip2
0.00364489326986116	Atp7a
0.00364684148774996	Shisa6
0.00364817298641858	Cryab
0.00365198164212885	Olig1
0.00367920216498542	Fkbp9
0.00369095158459958	Gmfb
0.00369352957131244	Gm5089
0.00371996311255254	Cpt1a
0.00372468872190019	Atp10b
0.00373185036952738	Nf2
0.00374748326266889	Ptgs1
0.00377281898483924	Tmem179b
0.00377657164376375	Mto1
0.0037786219722822	Nipal1
0.00378581599856437	Cebpzos
0.00379587678004537	Mettl23
0.00380047446534199	Fgfr2
0.00380221504880052	Flt1
0.0038147076517436	A330048O09Rik
0.0038285214317048	Ly6a
0.00389051403299031	Smcr8
0.00391740367398129	Ccl6
0.0039297207516984	Arsk
0.00393515291941677	Zadh2
0.00400216757925423	Mia
0.00400735814328768	S100a6
0.00404540761418625	Inpp5d
0.00405835727695803	Themis2
0.00406102899829025	Sdcbp
0.00407409727771065	Htr2b
0.00410798814846839	Trim30a
0.0041098854303475	Tmem33
0.00412524885132336	Dcn
0.00413421079804792	Adgrl4
0.00415300292333413	Tor3a
0.00421451055605827	Vtn
0.00423296352866166	Cabp7
0.00424546611783963	Parvg
0.00425388610026624	Irf8
0.00425828260718181	Plekhg3
0.00426549757694447	Fam214a
0.00429797168897026	Rngtt
0.00431275783658381	Cd14
0.00432416682781214	Cd55
0.00433149560826992	Dpm3
0.00434245674187113	Dnajb13
0.00439554004525562	Hspa1a
0.00440352053456946	2310039H08Rik
0.00440492008001823	Fcgr1
0.00441651970598993	Pomc
0.00442026527436737	Prl8a8
0.00442298543762319	Cdkn2c
0.00443434494951662	Mrc1
0.00443835700306768	Tmbim1
0.00444739421942882	Gucy1a3
0.00448231039466643	Gorasp2
0.00449374492785573	Gss
0.0045235971925557	Nme6
0.00459452275449775	Evi2a
0.0046307438748967	Tanc1
0.00465145170262597	Ube2cbp
0.00466738912363771	Bbs12
0.00468008291005606	Fam161a
0.00470138880557923	Myg1
0.00470311564729709	Cd83
0.00472460045873823	2810002D19Rik
0.00474039811807119	Fa2h
0.00476439098242024	Mrpl9
0.00479507730650001	Fam234a
