Sample	12moAPPSw.1	12moAPPSw.2	12moControl.1	12moControl.2
12moAPPSw.1	NA	0.94295758140738	0.945740407642237	0.944388595035369
12moAPPSw.2	0.94295758140738	NA	0.945032725263473	0.944377479922302
12moControl.1	0.945740407642237	0.945032725263473	NA	0.95127382947644
12moControl.2	0.944388595035369	0.944377479922302	0.95127382947644	NA
