Sample	HippPDE9_TG_1	HippPDE9_TG_2	HippPDE9_TG_3	HippPDE9_TG_4	HippPDE9_TG_5	HippPDE9_TG_6	HippPDE9_TG_7	HippPDE9_TG_8	HippPDE9_WT_1	HippPDE9_WT_2	HippPDE9_WT_3	HippPDE9_WT_4	HippPDE9_WT_5	HippPDE9_WT_6	HippPDE9_WT_7	HippPDE9_WT_8	HippVeh_TG_1	HippVeh_TG_2	HippVeh_TG_3	HippVeh_TG_4	HippVeh_TG_5	HippVeh_TG_6	HippVeh_TG_7	HippVeh_TG_8	HippVeh_WT_1	HippVeh_WT_2	HippVeh_WT_3	HippVeh_WT_4	HippVeh_WT_5	HippVeh_WT_6	HippVeh_WT_7	HippVeh_WT_8	PfCPDE9_TG_1	PfCPDE9_TG_2	PfCPDE9_TG_3	PfCPDE9_TG_4	PfCPDE9_TG_5	PfCPDE9_TG_6	PfCPDE9_TG_7	PfCPDE9_TG_8	PfCPDE9_WT_1	PfCPDE9_WT_2	PfCPDE9_WT_3	PfCPDE9_WT_4	PfCPDE9_WT_5	PfCPDE9_WT_6	PfCPDE9_WT_7	PfCPDE9_WT_8	PfCVeh_TG_1	PfCVeh_TG_2	PfCVeh_TG_3	PfCVeh_TG_4	PfCVeh_TG_5	PfCVeh_TG_6	PfCVeh_TG_7	PfCVeh_TG_8	PfCVeh_WT_1	PfCVeh_WT_2	PfCVeh_WT_3	PfCVeh_WT_4	PfCVeh_WT_5	PfCVeh_WT_6	PfCVeh_WT_7	PfCVeh_WT_8
HippPDE9_TG_1	NA	0.980206743305387	0.986100377928788	0.978466939018592	0.980875358177366	0.974794058648359	0.97631077223702	0.984652067387217	0.986812691794104	0.977934653044447	0.974097934601542	0.978077017426635	0.978924702589295	0.978002232598985	0.981781515976385	0.979454337109808	0.982644688171237	0.978541463060311	0.98010111008635	0.982650048495482	0.98320298212689	0.979069983671377	0.980466350320456	0.980257783295758	0.983555316618222	0.980559908139566	0.982490900033908	0.984179713562752	0.977663517627315	0.980004675739256	0.981118965051843	0.978177964699728	0.984317349209056	0.98899339076847	0.98213321177001	0.98469328651854	0.98681492778366	0.982139145947936	0.980643396684305	0.987919176648561	0.986540267591252	0.984875328625471	0.986389538241263	0.986808126859888	0.986147218180935	0.978721109772205	0.97933955671997	0.978022964273811	0.982206910104948	0.984308947121628	0.984183177603199	0.985430728923078	0.982312075717457	0.976696191630785	0.982244076631235	0.985441736573986	0.986024427858081	0.984985471485257	0.984216316159412	0.986006184531156	0.978909405183441	0.980942335560622	0.982509244896416	0.986693969630687
HippPDE9_TG_2	0.980206743305387	NA	0.991734945347628	0.992332587409869	0.990774841252748	0.990941730059874	0.993680936802613	0.993114245564304	0.992444918251932	0.994919672354395	0.992550976568853	0.995162350920986	0.993344536126249	0.992569699397633	0.993478729485567	0.993938701827409	0.992444411725074	0.993466065782029	0.99268830490635	0.992466374562154	0.993371382899879	0.991748931299527	0.993269878963536	0.993308595093905	0.988159535961287	0.993442915345042	0.99337126431418	0.991315371917637	0.991922629706567	0.994896400401564	0.993524166184715	0.995138327827943	0.983940878220612	0.97512693589986	0.974826046182531	0.976568490788647	0.983172468199499	0.980041590719727	0.982522645177544	0.980304107155094	0.977614163279162	0.980061343221967	0.979639462735544	0.979455291092079	0.983671661066849	0.979443716021564	0.979397278196645	0.980623025207301	0.974884478117517	0.977666554415171	0.977920152647976	0.97788681272835	0.981014376283454	0.979939485975167	0.981931585296471	0.983875575626455	0.979575524036845	0.978587221022483	0.983024908386807	0.978622877172903	0.98166655980122	0.98072182039485	0.982189772220172	0.98386460424044
HippPDE9_TG_3	0.986100377928788	0.991734945347628	NA	0.990965902891939	0.990918796857385	0.983883554254301	0.987377875625137	0.993567104827214	0.994845312421722	0.989153392757443	0.985345659741742	0.989998988219808	0.991750743074066	0.988010221126202	0.991135276773922	0.991108983398265	0.992570111508835	0.988628503233131	0.988735633944849	0.992757650891049	0.993726212680791	0.988520431136148	0.99005490010805	0.990316070804583	0.993375763633704	0.993252250333932	0.990986805315669	0.994791193637838	0.990587810278285	0.990043214632791	0.991576136618235	0.989544408678479	0.984202447434755	0.981354471319975	0.984609995268591	0.984430578387139	0.987156221512984	0.979785658645302	0.982947487625422	0.987551805156973	0.985475602410457	0.986552343808269	0.985348746264804	0.986686397883771	0.986202294976251	0.975512529416709	0.976723787768646	0.979525256633682	0.982337049721364	0.984786102305203	0.983276569915439	0.985669091590459	0.980200466509819	0.976116962981483	0.980795701318262	0.985898754997005	0.985998918184629	0.986757941706583	0.982448231166517	0.985833094009672	0.981782691871812	0.978394157950782	0.979816919857772	0.985875941591737
HippPDE9_TG_4	0.978466939018592	0.992332587409869	0.990965902891939	NA	0.986226938998107	0.984680625363024	0.987509594344502	0.989264842907573	0.989053356620985	0.988938085090668	0.985784065012771	0.989656105191928	0.994722632229349	0.986543987909221	0.988958380957741	0.990119368573325	0.991665379193697	0.99057691235757	0.987725073975031	0.991847318124534	0.992284954691076	0.986730905804606	0.988639174546562	0.989010904504887	0.990419654473943	0.99450083214595	0.98878379250631	0.992154268260751	0.993765187161424	0.990387237507587	0.992149077539919	0.990869932989358	0.978686746807597	0.972682951216101	0.974714684353639	0.974664232311536	0.981119984943015	0.973747768038906	0.9770786273804	0.979453268352675	0.976503785305939	0.977364560345525	0.977261272043251	0.978372613291539	0.979946676675414	0.971202848429458	0.972053896183995	0.974293867801238	0.972992734305705	0.976067381432943	0.975214783521015	0.976404403782653	0.974119927338465	0.971750705730161	0.975398083659606	0.979436255590236	0.977659347382874	0.978227269948586	0.976298545807933	0.978015555650101	0.975586303250129	0.973391388725786	0.975645388859847	0.979839973368934
HippPDE9_TG_5	0.980875358177366	0.990774841252748	0.990918796857385	0.986226938998107	NA	0.990202761241009	0.993133749497624	0.99320716007523	0.993853661591721	0.993254244784255	0.990242392836847	0.99227359088496	0.989908289273983	0.993821487602678	0.995146685765767	0.992743055371655	0.987022363714566	0.988085012719919	0.990393775109223	0.988769996124457	0.993499786608286	0.993975301100158	0.994445224903453	0.994149043270115	0.987826276561609	0.989507836124265	0.993529857671541	0.988879570070956	0.991218508167445	0.991041899240627	0.989009775717122	0.989415036376157	0.986215830039164	0.982783567861945	0.982538073448421	0.983463722589442	0.986222611282835	0.984429419317526	0.986055524512683	0.983736194351713	0.983324886502886	0.987308433749122	0.98371896903036	0.983815030571333	0.98539989299106	0.980409839323031	0.980874835236907	0.982789696782984	0.982963196633956	0.985249948127625	0.984855094522961	0.985466313690541	0.985368040660436	0.982219304590876	0.984703941922081	0.986818667360364	0.985573256033718	0.984789411842931	0.984913405817666	0.983475280473535	0.985533033554942	0.98223596863255	0.980934000578591	0.986187979694936
HippPDE9_TG_6	0.974794058648359	0.990941730059874	0.983883554254301	0.984680625363024	0.990202761241009	NA	0.992374579460559	0.98863722141984	0.989465411819059	0.993614383376236	0.99145743050205	0.992277784815416	0.98879672586868	0.993630194735629	0.993515524793859	0.991879059567617	0.985342571216527	0.986164655050822	0.98827880533285	0.984469813596314	0.990260680112663	0.98958089519863	0.991878329320028	0.990868621649738	0.979112513580047	0.986085214289172	0.992564423765891	0.98639768371146	0.988205073313244	0.992867462546507	0.991115613520477	0.989430962083356	0.982657142489611	0.973754655851167	0.969725274419738	0.97349948978845	0.978749015570906	0.97946619596387	0.980698169891732	0.976366496918709	0.974173282318963	0.977292697427825	0.976006107997887	0.975447094930965	0.979416798658891	0.979520641786804	0.978789701764115	0.978454749132341	0.973873698679165	0.976073675535272	0.976734907951073	0.975131390787516	0.981079253407645	0.979971152561894	0.981212647687924	0.979764952398529	0.977176040686511	0.974284859518532	0.981803611405325	0.975079624295323	0.980257106566214	0.978861092666286	0.979801559454866	0.980351683562099
HippPDE9_TG_7	0.97631077223702	0.993680936802613	0.987377875625137	0.987509594344502	0.993133749497624	0.992374579460559	NA	0.99133413064723	0.99155671198045	0.995981274209534	0.993541312826489	0.994847101366275	0.990449001860082	0.995021713320127	0.994978934447522	0.994907890475011	0.986990715626397	0.989821460729397	0.990217380557077	0.987827162667181	0.991585731303706	0.993819529608278	0.994255538522352	0.994878243553129	0.98309855371519	0.989893850686237	0.992256538072964	0.987060787481076	0.991341926780781	0.992886267896116	0.990687170932637	0.991576949999287	0.983546249498694	0.976575493840287	0.974823691918266	0.978090551194814	0.982957176786841	0.981365862005486	0.984855556237974	0.97882328650498	0.977075425846813	0.981198945371304	0.978980779663846	0.978322068334234	0.982435800643374	0.981468274629236	0.980724862943951	0.979307730317855	0.976700992396255	0.979231033071094	0.979644200128785	0.979360983838073	0.983145346489052	0.982072970631202	0.983238877614993	0.983202798736153	0.980313378879245	0.978869638729191	0.982750104816618	0.978547330006415	0.982277604912291	0.981624792454024	0.98001299589921	0.983142378496835
HippPDE9_TG_8	0.984652067387217	0.993114245564304	0.993567104827214	0.989264842907573	0.99320716007523	0.98863722141984	0.99133413064723	NA	0.995268886996614	0.992903082126149	0.991377905750181	0.992722151166171	0.991300289147507	0.99277500413509	0.99340951507955	0.992811810763449	0.991623560250528	0.990200161392349	0.993454250128515	0.991286344860011	0.994601332760084	0.991881623236353	0.992606477646691	0.992077137022073	0.991178828600615	0.991982673193658	0.994855727397004	0.992760999481393	0.990623866112402	0.993577302858766	0.992155136400544	0.991979827419828	0.988842755831026	0.980506641879884	0.9809842529715	0.98249486015191	0.988871745088158	0.985140712667521	0.988511374941113	0.987128856135832	0.98315197502842	0.986402210890553	0.985425438984982	0.985615141030458	0.988337131068392	0.983432192373454	0.98353831111131	0.986121558009171	0.981296836034425	0.983839086498761	0.984083554201817	0.984443140731389	0.986116944721631	0.985148735859177	0.986858690855704	0.98876565110112	0.985983598762179	0.985423834964315	0.988153261021927	0.985211387810277	0.987728806570114	0.984934561017473	0.986452591757948	0.989085030210233
HippPDE9_WT_1	0.986812691794104	0.992444918251932	0.994845312421722	0.989053356620985	0.993853661591721	0.989465411819059	0.99155671198045	0.995268886996614	NA	0.992966259235125	0.989528893301268	0.992377770231857	0.991073828017305	0.992087745707079	0.994945235927257	0.99319497812118	0.991164150725115	0.989479218831483	0.990933186117571	0.991541057007763	0.99479942515613	0.991955100896136	0.993695590687823	0.993387159970327	0.990937108966056	0.992072123610954	0.994154963196496	0.993558621287339	0.990708971362496	0.992678827458433	0.992764632480293	0.991223511228042	0.988398789737558	0.983536200492225	0.983468389636685	0.98544963428937	0.989564505603013	0.985220631195422	0.98739177121634	0.988020188878453	0.987048016488648	0.987922303106705	0.987155329454748	0.987337348491671	0.988127274604487	0.982409403086151	0.983217576794593	0.98382323912176	0.983555417707175	0.986195761974501	0.985840993822865	0.987041924193536	0.986488491637413	0.983278718739776	0.986962763458615	0.988733162758217	0.987756004610307	0.987149395179654	0.987541249267593	0.986898384181597	0.986784546366598	0.984038271557564	0.985027111636798	0.989348670725436
HippPDE9_WT_2	0.977934653044447	0.994919672354395	0.989153392757443	0.988938085090668	0.993254244784255	0.993614383376236	0.995981274209534	0.992903082126149	0.992966259235125	NA	0.995360698352212	0.996683300426289	0.991726002525092	0.994978567528943	0.995744489401226	0.995407483509639	0.988545893719861	0.991189297809698	0.992519603434067	0.989359007129627	0.9933569130448	0.993025346469508	0.99433747485367	0.994360502499343	0.985292586611481	0.99161606927405	0.994013442813523	0.989341112501996	0.992223712498786	0.994704681761348	0.992183907066947	0.993987502764586	0.985329878107916	0.976272768933647	0.974389921068824	0.977905312966407	0.983677044949245	0.982734253654954	0.985034010653118	0.97947402888885	0.977406488571774	0.982488295861338	0.979722775263139	0.979551067221877	0.983396074630067	0.982037926916782	0.982403471645178	0.981913971166463	0.976082459261669	0.978874024410632	0.979725753273934	0.979177742612122	0.983912315377248	0.982955549213138	0.984163200475655	0.984136854250283	0.981096227226184	0.979443676801582	0.984898923097184	0.979217956595147	0.984377372265051	0.98293974276156	0.982239401840744	0.98495130823343
