Sample	4mon_5XFAD_rep1	4mon_5XFAD_rep2	4mon_WT_rep1	4mon_WT_rep2	8mon_5xFAD_rep1	8mon_5xFAD_rep2	8mon_WT_rep1	8mon_WT_rep2
4mon_5XFAD_rep1	NA	0.993100674046061	0.987463865946875	0.992423983745782	0.98754690196955	0.989342641698694	0.986627986953979	0.991063261798232
4mon_5XFAD_rep2	0.993100674046061	NA	0.986923125136942	0.991961326210647	0.991778015728785	0.990338147990571	0.98890859607203	0.992133157177852
4mon_WT_rep1	0.987463865946875	0.986923125136942	NA	0.989826785926229	0.985700667769423	0.984836041219137	0.990676474422746	0.990236966309259
4mon_WT_rep2	0.992423983745782	0.991961326210647	0.989826785926229	NA	0.990411857121833	0.98671096723029	0.989014133267446	0.993372818913934
8mon_5xFAD_rep1	0.98754690196955	0.991778015728785	0.985700667769423	0.990411857121833	NA	0.987204861122309	0.991481775325978	0.990382902472303
8mon_5xFAD_rep2	0.989342641698694	0.990338147990571	0.984836041219137	0.98671096723029	0.987204861122309	NA	0.987734977836821	0.988480344466219
8mon_WT_rep1	0.986627986953979	0.98890859607203	0.990676474422746	0.989014133267446	0.991481775325978	0.987734977836821	NA	0.990325784739012
8mon_WT_rep2	0.991063261798232	0.992133157177852	0.990236966309259	0.993372818913934	0.990382902472303	0.988480344466219	0.990325784739012	NA
