#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL6885
#No probes removed from annotation.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE64398.1_neqc_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 25697
#number of samples: 112
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=15, ho_TASTPM: n=15, TAS10: n=13, TAU: n=15, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=112
#Factor: Batch (3 levels): Batch_01_2012-02-25: n=33, Batch_02_2013-03-04: n=78, Batch_03_2013-06-26: n=1
#Factor: Gender (1 levels): M: n=112
#Factor: Timepoint (4 levels): 18_months: n=24, 2_months: n=32, 4_months: n=27, 8_months: n=29
#
#
### Model test for factor: Genotype
#p-value: 0.0244722851065837; Statistic: 1.44878723355293; Expected: 0.909000791576573; Std.dev: 0.221706554875654; #Cov: 25697
### Model test for factor: Batch
#p-value: 4.20889513975337e-29; Statistic: 19.1481006227809; Expected: 0.908948626581019; Std.dev: 0.454022979505226; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 0.00803129149744232; Statistic: 1.82961689319919; Expected: 0.908992657887118; Std.dev: 0.271350267850959; #Cov: 25697
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#4 sample(s) removed: TPM_2m_Hipp_rep4, TAU_18m_Hipp_rep1, TAU_18m_Hipp_rep2, TAU_2m_Hipp_rep1
#Reason for removal: TPM_2m_Hipp_rep4 is the only one belongs batch3; sample correlation outliers; sample correlation outliers; sample correlation outliers
#number of samples after removal: 108
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=14, ho_TASTPM: n=15, TAS10: n=13, TAU: n=12, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=108
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=30, Batch_02_2013-03-04: n=78
#Factor: Gender (1 levels): M: n=108
#Factor: Timepoint (4 levels): 18_months: n=22, 2_months: n=30, 4_months: n=27, 8_months: n=29
#
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2018-03-29
#number of rows: 25697
#number of samples: 108
### Model test for factor: Genotype
#p-value: 1.11026000906088e-06; Statistic: 1.93569837117945; Expected: 0.943298789165126; Std.dev: 0.134662287771227; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.99999999995869; Statistic: 0.282013883764099; Expected: 0.934579439252336; Std.dev: 0.291091146623718; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 3.28159146071282e-06; Statistic: 2.04317003911872; Expected: 0.943291613329555; Std.dev: 0.16366871160103; #Cov: 25697
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE64398.1
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE64398.1/results/GSE64398.1_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('18_months') are kept for analysis. 
#New dataset contains 22 samples. Original sample size: 108
#Factor: Genotype (6 levels): WT: n=7, het_TASTPM: n=4, het_TPM: n=3, ho_TASTPM: n=3, TAS10: n=4, TAU: n=1
#Factor: OrganismPart (1 levels): Hippocampus: n=22
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=9, Batch_02_2013-03-04: n=13
#Factor: Gender (1 levels): M: n=22
#Factor: Timepoint (1 levels): 18_months: n=22
#
### Model test for factor: Genotype
#p-value: 0.000376093277232509; Statistic: 8.98052590698039; Expected: 4.98810333807619; Std.dev: 0.859357275474529; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.0229776290128952; Statistic: 9.14311222714264; Expected: 4.76190476190476; Std.dev: 1.74585518123245; #Cov: 25697
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#22 samples, 25697 probes
#coefficients: (Intercept), Genotypehet_TASTPM, Genotypehet_TPM, Genotypeho_TASTPM, GenotypeTAS10, GenotypeTAU
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: Genotypeho_TASTPM
#  DE genes: 3694, up: 1832, down: 1862
#GSE64398.1_ho_TASTPM: original input has 25697 probesets; mapped probesets: 24643; probes mapped to multiple genes to be removed (except for insulin): 1086; genes with multiple probesets are BH corrected. New data has 16349 genes.
GSE64398.1_ho_TASTPM	GeneSymbols
5.00891415599012e-05	Gria2
5.04383926105237e-05	Zfp706
5.0754141514109e-05	Kcns2
5.11458228085747e-05	Nr2f1
5.12886014123277e-05	Glrx2
5.14343033106468e-05	Krt222
5.29949787432652e-05	Akr1c18
5.36974129203949e-05	Htatsf1
5.42763475481976e-05	Rasgrp1
5.45176141277312e-05	Nckap1
5.51090775344487e-05	Prelid3a
5.69662626917145e-05	Lrp11
5.71947320215112e-05	Dtd1
5.74457495926493e-05	Nudt10
5.76226557545398e-05	Srp9
5.87766888255471e-05	Slitrk3
5.8790083115902e-05	Lrrtm2
6.02481179305336e-05	Dlg4
6.0705766805905e-05	Cox5a
6.17161810991767e-05	Bcl7a
6.34769250833783e-05	Otud7a
6.389583759012e-05	Rbm18
6.44106033844203e-05	Hpca
6.46521565573858e-05	Rabif
6.56711489539566e-05	Rnf6
6.68189677216626e-05	Tmem68
6.71253590026528e-05	Mpp3
6.85183361763162e-05	Npb
6.87394974235795e-05	Fam204a
6.87871777025191e-05	Kras
7.17799049237726e-05	Mettl8
7.33255020147087e-05	Arhgef25
7.56017463577408e-05	Zfp11
7.64843823439457e-05	Frzb
7.70474338908009e-05	Gfra4
7.82084349801057e-05	Epm2a
7.95184881774871e-05	Pou3f1
7.96053186939403e-05	Gtf2h5
7.97040285619353e-05	Sprn
8.010335812047e-05	Homer1
8.22356692822985e-05	AI593442
8.3046422897062e-05	Vstm2a
8.35593750805177e-05	Gng7
8.40535632891237e-05	Wasf3
8.66325794680686e-05	Snrpa1
8.77696790988262e-05	Arrdc4
8.85008757198449e-05	Ube2d3
8.862491289942e-05	Ptk2b
8.9051109784571e-05	Chst1
8.90934229637031e-05	Tceal1
8.97520083912063e-05	Ube2a
9.17786586990447e-05	Srr
9.25263826863409e-05	Abi1
9.28313591329354e-05	Armcx5
9.33317466212184e-05	Ywhaz
9.39035097090503e-05	Plpp6
9.43812602919314e-05	Cdk14
9.68541285029092e-05	Crym
9.74942062731366e-05	3110040N11Rik
9.80220067785333e-05	Asns
9.81046104625228e-05	Morf4l1
0.000100670968832304	Prkcb
0.000100894364557021	Lor
0.00010225817525898	Drg1
0.000102730771595861	Parp8
0.000102897630166374	Rala
0.000103062485862185	Pls3
0.000103134196743064	Tmem106b
0.000103690650750967	Nsmf
0.000104128146125381	Tmem74
0.000105022630065255	Mtch2
0.000105380623311227	Ruvbl1
0.000106118678231982	Fndc5
0.00010794557271878	Pex7
0.00010873270699222	Mlf2
0.000109004965200319	Psmc1
0.00011087781255478	Dcun1d5
0.000111564380307064	Rab3ip
0.000111930297998262	Pcdh20
0.000115348195576609	Vegfc
0.000115775548610903	Fut8
0.000116506715443334	Rab11a
0.000118432146633255	Slain1
0.00011960062380413	Car7
0.000120410803894834	Ptges3l
0.00012134888810152	Eif2ak3
0.000121763453048188	Senp5
0.00012476133490471	Ecsit
0.000125585162869507	Slc1a1
0.000126326321835194	Fam92a
0.000128119330616157	Phax
0.00012909417158751	Slc25a34
0.000131485915685563	Gpm6a
0.000139968264795997	St3gal2
0.000140671948849985	Slc25a14
0.000142228037555843	Snrpd1
0.000144568948064999	Lgi1
0.000145607965564965	Cdk5r1
0.000148005791424621	Dhx36
0.000148245708174242	Kctd2
0.000148303129024658	Dpm1
0.000149109541172308	Ric3
0.000149850504688209	Prkcg
0.000150112312512801	Kif1bp
0.000150547018507437	Prkce
0.000150826492289004	Ndrg3
0.000152208268796089	Wsb2
0.000153493356019698	Sorcs3
0.000153682635142497	Gm10037
0.000155050170857141	March5
0.000161391457703947	Grasp
0.000163089184033667	Twistnb
0.000163429523208813	Uba1
0.000165680482948799	Smco3
0.000166140172693159	Khdrbs2
0.000169322695481941	Zfp804a
0.000170084749043849	Smarcd3
0.000171178856950868	Set
0.000173574294220706	Rpf2
0.000174509696781701	Lrrc57
0.0001749526742872	Nupl1
0.00017553420076267	Fgfr1op2
0.000179503076633559	Tac1
0.000179527714431919	Car4
0.000183353575769148	Mrpl3
0.000184733491707754	Egln2
0.000186415294182741	Nrgn
0.000187096407311223	Nudt19
0.000187377362894298	Vps41
0.00018997959339462	Rab6a
0.000193194693920413	Lamb3
0.000194707210364189	Skil
0.000195128072244228	Slc8a2
0.000198963416312472	Kif3b
0.000200142367803739	Rprd1b
0.000200166103980979	Ccdc90b
0.000208922910526328	Cyp4f15
0.000212142104628349	Kcnmb4
0.000212336609465286	Stac
0.000215250299764435	Zfp346
0.000216190991415001	Eif2a
0.000216759364289229	Tfam
0.000219433700193886	Hace1
0.000221749230248322	Arxes2
0.000223525453527407	Mtrf1l
0.000223611904898302	Sema3e
0.00022494670416131	Klf13
0.000227400863092651	Lefty1
0.000228091500106761	Commd3
0.000229439018391292	Wdr31
0.000235121596007433	Pfn2
0.000235393207013206	Atp2c1
0.000236273645434721	Ttc39c
0.000237548410556199	Hdac2
0.000238857760869951	Zmynd11
0.000239115243783888	Hnrnpab
0.000240519947232932	Mapk1
0.00024162368146341	Cetn3
0.000241979449769332	Gpn1
0.000242493602730506	Zfp46
0.000246670340420518	Frg2f1
0.000247623075106769	Bop1
0.000249267805661408	2610002M06Rik
0.00024984756185208	Prpf6
0.000253616270539982	Glrx5
0.000254124598293496	Cadm3
0.000257086327961897	Zrsr2
0.000259570064470965	Arhgap1
0.000262819966714228	Rrp1
0.000263292979514871	Gpr85
0.000264016841008004	Amph
0.000265879727899464	Fgfbp3
0.000266613479799157	Ube2e2
0.000273174280837844	Ppp3r1
0.000273426218126038	Wasf1
0.000277507350881282	Xpo7
0.000278333447121228	Abcb4
0.000279496758043817	Cycs
0.000283719644467841	Dyrk3
0.000284883858582666	Myef2
0.00028569165249256	Camk2b
0.000291946110428762	Slc35f4
0.000292300079713658	Kifap3
0.000293061413911765	Pyroxd1
0.000294234019333351	Fkbp1b
0.000297287259229907	Arpc1a
0.000299586214742245	Uba3
0.000300047995221422	Lrrn1
0.000301829059310102	Arf5
0.000306885726717197	Luzp2
0.000308098635619249	Rwdd3
0.000312096730126615	Mas1
0.000313361898185027	Sh3bgrl
0.000313880105581948	Vti1b
0.000314920524084211	Pik3cb
0.000316433238372938	Fam198b
0.000317268367707028	Gjd3
0.000317269892168424	Ophn1
0.000318221296502454	Gdf10
0.000319010821659073	Cntn1
0.000319141234802585	Tmem136
0.000320413971582382	Ppp2r2c
0.000323887144268371	Tmcc2
0.000325215481586872	Sec22a
0.000326024881735171	Stx6
0.000329441625214509	Sertm1
0.000329510334840346	Vps50
0.000330687104099358	Trim37
0.000330965334396922	Dcaf13
0.000331432640568528	Sar1b
0.000332213570595673	Ndufs2
0.000335920776945918	Ap1ar
0.00033927300220923	Nme7
0.000341020700969106	Lrp12
0.000341963643261877	Cir1
0.000344164841573493	Upk1b
0.000345392030223997	Lrrc20
0.000346804324691894	Pdcd2
0.000347552561116504	Kirrel3
0.000352274114568328	Slitrk5
0.000353890070082219	Actr3
0.000354959530540856	Amer3
0.000356272847657828	Iqsec2
0.000360355699634646	Ptprn
0.000360622974936461	Pdhb
0.000361073788239089	Rad1
0.000366963776776917	Maged1
0.000367012909037198	B3gat1
0.000367580194889813	Lars
0.000368651938302102	Rps6ka4
0.000368825521214288	Fam162a
0.000369906650730946	Btbd9
0.000374470143860424	Jph4
0.00037526717838428	Zswim5
0.000375677473896336	Slit3
0.000376598354650223	Ube2g1
0.000379033492128171	Fibcd1
0.000380772043199422	Add1
0.000382571521310868	Id4
0.000389514743941995	Fam210b
0.000391982589739784	Isca1
0.000397083719068679	Npy2r
0.00040054106324865	Hprt
0.000401725525100834	1700093K21Rik
0.000401785306164934	Slc2a13
0.000402424896911872	Fam49b
0.000406091725197872	Kif5a
0.000406400321647929	Ncl
0.000407622430358189	Sik3
0.000411119593790662	Lrrn3
0.00041652614921526	Nhlrc1
0.000418676659807003	Rlbp1
0.000421233262043332	Mfap4
0.000421447982950958	Rexo2
0.000422329281293283	Ppp1r2
0.00042702738969368	Fhl2
0.000428427838423478	Hpdl
0.000431090609483543	Ndufaf1
0.000431868085247785	Fbxo27
0.000432151903064254	Bcl2l13
0.000432418534601972	Sfxn1
0.000432859490116592	Cops4
0.00043330668648963	Paip1
0.00043603853281553	Bag5
0.000438676338801333	Sec14l2
0.000439089120697418	Brinp1
0.000445431259076459	Grin2a
0.000448802021753363	Il1rap
0.00044987805455155	Fam131a
0.00045616523707268	Pdia6
0.000465257121090174	Hcrtr1
0.000466258560838168	Zfp27
0.000466313182169315	Crbn
0.000470035248249972	Zfp386
0.00047190217379433	Taf1d
0.000471927626174393	Rasl10b
0.000471981197368691	Rap2c
0.000473502452663777	Zfp668
0.000473780549969853	Atp2a2
0.000473781791436711	Mrps33
0.000477037799315249	Cbwd1
0.000477386989964263	Tpgs2
0.000481588691558658	Rtn4rl1
0.000488483333289438	Tada1
0.000494313250414674	Prosc
0.000496304838014314	Skiv2l2
0.00049858149249052	Yrdc
0.000499456079482142	Ints14
0.000501760369726797	Ccl25
0.00050178041571678	Snx10
0.000503490604211396	Uck2
0.000503589680419748	Mfsd8
0.000509033626717525	Terf2
0.000514294309822629	Ppp6r3
0.000519835470719009	Camkk1
0.000520455041309932	Zbtb18
0.000521881671175779	Hook1
0.000521896603359251	Cstf2
0.000522227819829501	Zhx1
0.000524640613696746	Cpt1c
0.000542879072948956	Olfr497
0.000543676294607168	Tpi1
0.000547306793311594	Bdnf
0.000548717575569803	Dynlt3
0.00055444709750641	Npdc1
0.000558286858984517	Il16
0.000558420719292439	Usf1
0.000558832077873666	Bhlhe40
0.000563146427947152	Myl12b
0.000563769820775952	Pkp2
0.000564242753114126	Btbd1
0.000569737796988353	Camk1d
0.000570268253671987	Ptpre
0.000571164083245836	Zranb3
0.000573294214650002	Tsga10
0.000579394024122479	Camk1g
0.000580720405147544	Bpifa1
0.00058832186722453	Psmg2
0.000594885434373066	Lysmd2
0.000605951529098217	Plekhg5
0.000606364203890829	Klhl7
0.000607281716217265	Aph1b
0.000611594009760892	Ube2e3
0.00061263683297487	Gpsm2
0.000615889351937565	Gdap1
0.000616718663065826	Ankrd37
0.000618234946008506	Ppp1r9b
0.000618641320942676	Rsrc2
0.000619354450716803	Fastkd1
0.000620062719107157	Sypl2
0.000620244600581451	Pip5k1b
0.000620879750562922	Wnt2
0.000621597998649713	Prps1
0.000626611185033776	Mcu
0.000634506722226754	Sprr1a
0.000635678645818952	Lrrc28
0.000637789012290528	Tspyl1
0.000640185057034552	Fam155a
0.000646903740546017	Cnih2
0.000651964333672105	Zfp26
0.000653239588481995	Nanos1
0.000655723994823689	Nars2
0.000659082487569074	Mrps18c
