# 2018-01-09
geneSymbol	Estimate	Std..Error	t.value	CI_2.5	CI_97.5	pvalue	down_pval	up_padj	down_padj	up_rank	down_rank	chisq	chi_df	GSE48622_intercept	GSE64398_intercept	GSE36237_intercept	GSE48622_FE_Disease	GSE64398_FE_Disease	GSE36237_FE_Disease	FE_Gender	Gender	ME_model
Crhbp	-0.281290603543338	0.0627450088868364	-4.48307536382151	NA	NA	1.77549886468908e-05	8.87749432344539e-06	0.999991122505677	0.0712535045660339	10856	1	18.4161168603485	1	9.74700339917589	11.616811010862	9.51370057428748	-0.281290603543338	-0.281290603543338	-0.281290603543338	NA	NA	random_intercept
Enox1	-0.188948422586452	0.0430948842028557	-4.38447453987894	NA	NA	2.62540547406168e-05	1.31270273703084e-05	0.999991122505677	0.0712535045660339	10855	2	17.6714296168576	1	8.93792785453615	10.1832938165128	8.36638051563531	-0.188948422586452	-0.188948422586452	-0.188948422586452	NA	NA	random_intercept
Oaf	-0.172218138059871	0.0405784339711682	-4.24408044386916	NA	NA	4.55951814683103e-05	2.27975907341551e-05	0.999991122505677	0.0824968816699961	10854	3	16.6229816220395	1	8.16620586788915	6.83388366088751	8.21994838052879	-0.172218138059871	-0.172218138059871	-0.172218138059871	NA	NA	random_intercept
Stxbp4	-0.129306374074639	0.0315828744251334	-4.09419270501035	NA	NA	7.93312140599336e-05	3.96656070299668e-05	0.999991122505677	0.0862961071161683	10853	4	15.5741639973049	1	7.96522260474139	9.00908788335139	8.02009351124529	-0.129306374074639	-0.129306374074639	-0.129306374074639	NA	NA	random_intercept
Entpd4	-0.188145859302439	0.0463598486808346	-4.05837949553574	NA	NA	9.09184971023745e-05	4.54592485511872e-05	0.999991122505677	0.0862961071161683	10852	5	15.3165084817999	1	10.4316824175819	12.831039994079	10.3834942813018	-0.188145859302439	-0.188145859302439	-0.188145859302439	NA	NA	random_intercept
Gpr62	-0.395712739500727	0.0895675385770599	-4.41803744735347	NA	NA	9.53899489124926e-05	4.76949744562463e-05	0.999991122505677	0.0862961071161683	10851	6	15.2258259002826	1	8.88318931416353	NA	9.12577025718046	-0.395712739500727	NA	-0.395712739500727	NA	NA	random_intercept
Il17d	-0.226111010638735	0.057733349508386	-3.91647137337652	NA	NA	0.000153214552325036	7.6607276162518e-05	0.999991122505677	0.118806941431471	10850	7	14.3322855180211	1	6.94780190477248	9.32577385544158	6.73259612787268	-0.226111010638735	-0.226111010638735	-0.226111010638735	NA	NA	random_intercept
Fam53b	-0.175376478610135	0.0452546294866621	-3.87532680301413	NA	NA	0.000176210387434233	8.81051937171167e-05	0.999991122505677	0.119558747874127	10849	8	14.0691502709965	1	7.22360756208655	7.8951185185293	7.47665311309056	-0.175376478610135	-0.175376478610135	-0.175376478610135	NA	NA	random_intercept
Ttyh2	-0.195966938298026	0.0511109358884154	-3.83414889380734	NA	NA	0.000204382560681355	0.000102191280340678	0.999991122505677	0.123265393264266	10848	9	13.7903571130605	1	8.7225213186282	8.7225213186282	8.7225213186282	-0.195966938298026	-0.195966938298026	-0.195966938298026	NA	NA	random_intercept
Tgfbr1	-0.107020308060905	0.0291269920038386	-3.6742657136309	NA	NA	0.00036383603537827	0.000181918017689135	0.999991122505677	0.197490200003325	10847	10	12.7093285804065	1	9.94811124620521	10.9437385005214	9.42055596260822	-0.107020308060905	-0.107020308060905	-0.107020308060905	NA	NA	random_intercept
