Sample	Tg2576_rep1	Tg2576_rep2	wt_rep1	wt_rep2
Tg2576_rep1	NA	0.98781914901565	0.993189185529887	0.988021231111891
Tg2576_rep2	0.98781914901565	NA	0.989178722031965	0.986215450849847
wt_rep1	0.993189185529887	0.989178722031965	NA	0.992202493576753
wt_rep2	0.988021231111891	0.986215450849847	0.992202493576753	NA
