# 2018-01-09
# ../files_results/AD_mouse_model_project//mixed_model_jackknife/random_intercept_include_NA_low_exp_rm//early//run1/
geneSymbol	up_pval	down_pval	up_padj	down_padj	up_rank	down_rank	Estimate	Std..Error	t.value	CI_2.5	CI_97.5	pvalue	chisq	chi_df	GSE64398_intercept	GSE63617_intercept	GSE36237_intercept	GSE64398_FE_Disease	GSE63617_FE_Disease	GSE36237_FE_Disease	FE_Gender	Gender	ME_model
0610007P14Rik	0.00203842297948028	0.99796157702052	0.409017123052121	0.999999991885596	53	10804	0.0719625395180763	0.0245869537128637	2.92685870557547	NA	NA	0.00407684595896057	8.24926702819499	1	10.6541024218422	11.6803249049771	10.0959352569786	0.0719625395180763	0.0719625395180763	0.0719625395180763	NA	NA	random_intercept
0610009B22Rik	0.449574533356909	0.550425466643091	0.999996143185094	0.990541778553761	4835	6022	0.00898927746961538	0.0709262855575041	0.126741128468193	NA	NA	0.899149066713817	0.0160621049563758	1	8.34373469826344	10.0785732154866	10.0660169081417	0.00898927746961538	0.00898927746961538	0.00898927746961538	NA	NA	random_intercept
0610009L18Rik	0.747063839758502	0.252936160241498	0.999996143185094	0.910877019079116	7850	3007	-0.0467471804296685	0.0700385232512708	-0.667449544330881	NA	NA	0.505872320482996	0.442595605288242	1	NA	10.0789912002745	6.9987186058179	NA	-0.0467471804296685	-0.0467471804296685	NA	NA	random_intercept
0610009O20Rik	0.431438817362993	0.568561182637007	0.999996143185094	0.990630492780078	4638	6219	0.00458360570505961	0.0265371962200933	0.172723812532577	NA	NA	0.862877634725986	0.0298295123647137	1	9.32287277542863	8.26785201199171	8.31406188418938	0.00458360570505961	0.00458360570505961	0.00458360570505961	NA	NA	random_intercept
0610010F05Rik	0.801872738720256	0.198127261279744	0.999996143185094	0.899507465624464	8466	2391	-0.0462055753121496	0.0541785847778112	-0.852838358580992	NA	NA	0.396254522559487	0.719662850508278	1	NA	8.27699458449105	9.78510980067135	NA	-0.0462055753121496	-0.0462055753121496	NA	NA	random_intercept
0610010K14Rik	0.387705898674529	0.612294101325471	0.999996143185094	0.995938167294181	4183	6674	0.0131452201385255	0.0460660643311149	0.285355832528691	NA	NA	0.775411797349059	0.0813979636770981	1	9.02142967720765	8.64568439334306	7.14120998646064	0.0131452201385255	0.0131452201385255	0.0131452201385255	NA	NA	random_intercept
0610011F06Rik	0.300835513301223	0.699164486698777	0.980179111110842	0.999999991885596	3328	7529	0.0302219036270639	0.0577805176829613	0.523046605308902	NA	NA	0.601671026602447	0.27248295636322	1	NA	10.0114128740176	9.64799228479203	NA	0.0302219036270639	0.0302219036270639	NA	NA	random_intercept
0610012G03Rik	0.605884803255507	0.394115196744493	0.999996143185094	0.952784920055439	6368	4489	-0.00949904586338128	0.0353578049608277	-0.268654852129681	NA	NA	0.788230393488985	0.0721509290947466	1	11.616183238844	11.4751302060003	11.6358323190865	-0.00949904586338128	-0.00949904586338128	-0.00949904586338128	NA	NA	random_intercept
0610030E20Rik	0.350436066497828	0.649563933502172	0.990738047183866	0.999999991885596	3839	7018	0.0275510454893953	0.071647238431941	0.384537437762749	NA	NA	0.700872132995657	0.147566185996906	1	NA	8.301324232487	8.301324232487	NA	0.0275510454893953	0.0275510454893953	NA	NA	random_intercept
0610037L13Rik	0.0613512335247943	0.938648766475206	0.843346111980024	0.999999991885596	787	10070	0.0373775411577666	0.0240847221649189	1.55191913370749	NA	NA	0.122702467049589	2.38248189794481	1	10.3411598155755	9.50636740665918	8.53604300193635	0.0373775411577666	0.0373775411577666	0.0373775411577666	NA	NA	random_intercept
0610040J01Rik	0.821495795267812	0.178504204732188	0.999996143185094	0.883657535084154	8684	2173	-0.034528170892417	0.0374143595945377	-0.922858797173105	NA	NA	0.357008409464375	0.848389254758942	1	7.19787502144962	8.84457348461145	6.46326811719422	-0.034528170892417	-0.034528170892417	-0.034528170892417	NA	NA	random_intercept
1110001J03Rik	0.574962995178437	0.425037004821563	0.999996143185094	0.96112019481897	6063	4794	-0.00645091869377611	0.0341247400951113	-0.189039350213257	NA	NA	0.850074009643126	0.0357300710993798	1	11.2171591283952	12.3629621559648	9.94831748748265	-0.00645091869377611	-0.00645091869377611	-0.00645091869377611	NA	NA	random_intercept
1110002L01Rik	0.145655366009483	0.854344633990517	0.90147107838733	0.999999991885596	1751	9106	0.0359220042326645	0.0337628650288501	1.06395011803558	NA	NA	0.291310732018966	1.11355380888187	1	NA	4.93916602829252	6.83649106771058	NA	0.0359220042326645	0.0359220042326645	NA	NA	random_intercept
1110004E09Rik	0.174997882263342	0.825002117736658	0.929345821435106	0.999999991885596	2040	8817	0.0429637367175433	0.0458790204495937	0.936457149619109	NA	NA	0.349995764526685	0.873472499235532	1	5.9351645149614	11.6282552874446	8.71893747785881	0.0429637367175433	0.0429637367175433	0.0429637367175433	NA	NA	random_intercept
1110008F13Rik	0.485098964935238	0.514901035064762	0.999996143185094	0.985339211342539	5185	5672	0.0012134671785943	0.0324802398024884	0.0373601668575531	NA	NA	0.970197929870476	0.00139577296380367	1	9.40787562232785	12.6118968019382	11.5212016340534	0.0012134671785943	0.0012134671785943	0.0012134671785943	NA	NA	random_intercept
1110008L16Rik	0.47978680390374	0.52021319609626	0.999996143185094	0.985339211342539	5130	5727	0.00331757418012943	0.0654487821545003	0.0506896243278885	NA	NA	0.95957360780748	0.00256934091865268	1	NA	5.92127947659615	6.42653510079625	NA	0.00331757418012943	0.00331757418012943	NA	NA	random_intercept
1110008P14Rik	0.441760446693237	0.558239553306763	0.999996143185094	0.990630492780078	4745	6112	0.00834127668082523	0.0569314834097143	0.146514304234728	NA	NA	0.883520893386475	0.0214644016289895	1	12.5753798220401	12.0712849696378	12.1322721230169	0.00834127668082523	0.00834127668082523	0.00834127668082523	NA	NA	random_intercept
1110012L19Rik	0.34650017809955	0.65349982190045	0.988990195734226	0.999999991885596	3801	7056	0.0131470139686626	0.033289771130304	0.394926535157063	NA	NA	0.693000356199101	0.155856490357195	1	8.42223686038206	9.58342719569895	7.34033172425323	0.0131470139686626	0.0131470139686626	0.0131470139686626	NA	NA	random_intercept
1110017D15Rik	0.0881452439016296	0.91185475609837	0.872774194303199	0.999999991885596	1096	9761	0.111904984661116	0.0824103854208573	1.35789905713503	NA	NA	0.176290487803259	1.8286212126846	1	9.15642487481327	8.80812032425991	6.32593410600189	0.111904984661116	0.111904984661116	0.111904984661116	NA	NA	random_intercept
1110032A03Rik	0.727564355260501	0.272435644739499	0.999996143185094	0.917406531461824	7637	3220	-0.0445001950301142	0.073436731659697	-0.605966442465419	NA	NA	0.544871289478998	0.366585649431258	1	6.23237301953271	8.01756739975638	9.41412282163827	-0.0445001950301142	-0.0445001950301142	-0.0445001950301142	NA	NA	random_intercept
