#Supplementary Table 1.  List of genes differentially expressed due to mutant htt protein and/or HDACi 4b treatment at p<0.005 for each brain region.
# only results for striatum and none treated mice
geneSymbol	ratio	p_value	regulation
Ccar1	0.517	0.00072	up
Nasp	0.517	0.00189	up
Hap1	0.517	0.00288	up
Psme1	0.522	0.00021	up
Pafah1b3	0.523	0.00015	up
Sh3yl1	0.53	1.00E-04	up
Slc35a5	0.531	0.00305	up
D830014E11Rik	0.534	3.00E-05	up
Lrrn3	0.544	3.00E-05	up
Pcdhb3	0.549	0.00251	up
Il13ra1	0.55	3.00E-05	up
Pnma3	0.55	0.00049	up
Abca7	0.552	0	up
Ppp6c	0.556	0	up
Hdac1	0.556	1.00E-05	up
Parp14	0.558	0.00021	up
Igtp	0.558	0.00334	up
Faah	0.563	1.00E-05	up
Dhrs6	0.563	0.00098	up
B430104H02Rik	0.563	0.00156	up
Gprasp2	0.568	1.00E-05	up
Ifngr2	0.569	1.00E-05	up
Nmbr	0.57	0.00272	up
2810406K13Rik	0.571	0.00153	up
Fkbp14	0.572	0	up
Isgf3g	0.572	0.00057	up
Sox11	0.574	0.00126	up
Stat1	0.576	0.00014	up
Cd200	0.577	0.00043	up
Pcdhb12	0.579	1.00E-05	up
Gpr21	0.579	0.0014	up
6430544H17Rik	0.586	4.00E-05	up
Trpc7	0.586	0.00458	up
Trim25	0.587	0.002	up
H2-T9	0.594	0.00177	up
2700092H06Rik	0.595	0	up
Psmb10	0.595	2.00E-05	up
BC038059	0.597	0.00011	up
Gale	0.6	0	up
Osbpl5	0.606	4.00E-05	up
D4Ertd765e	0.611	0.00039	up
LOC279653	0.612	3.00E-05	up
AI481100	0.615	2.00E-05	up
Nagk	0.617	4.00E-05	up
Stmn2	0.619	0	up
1810009K13Rik	0.624	0	up
Znhit2	0.625	0	up
Rhoj	0.626	3.00E-05	up
Hpgd	0.626	0.00013	up
B230342M21Rik	0.632	0	up
Dlx2	0.633	2.00E-05	up
1110017D15Rik	0.639	0.00127	up
Kif1b	0.641	2.00E-05	up
Ifi1	0.643	2.00E-04	up
Asl	0.647	1.00E-05	up
Sfmbt2	0.659	0	up
BC023741	0.659	0	up
Pcdh10	0.66	0.00036	up
Tm4sf6	0.666	0	up
Nif3l1	0.672	7.00E-05	up
Tmem2	0.673	3.00E-05	up
Txndc9	0.688	0.0016	up
Drctnnb1a	0.705	2.00E-05	up
6330569M22Rik	0.71	0	up
2210404O07Rik	0.721	0	up
B3bp	0.721	1.00E-05	up
Prkr	0.745	0	up
Acy3	0.745	0	up
Isgf3g	0.761	9.00E-05	up
Rbm11	0.791	0	up
D630023F18Rik	0.816	0	up
Dcx	0.848	0	up
Gbp4	0.85	0.00023	up
AA175286	0.854	0.00012	up
Nkx2-3	0.855	0	up
Bst2	0.856	0.00289	up
Lgals3bp	0.859	0.00262	up
BC034054	0.874	0	up
Trhr	0.892	0.00131	up
Dctn1	0.901	0.00063	up
Villp	0.902	0	up
MGC99845	0.904	0	up
Smoc1	0.906	0	up
Gng4	0.917	8.00E-05	up
Clp1	0.935	0	up
Reprimo	0.941	7.00E-05	up
Nkx6-1	0.948	0	up
2510004L01Rik	0.959	0.00127	up
4930583H14Rik	0.979	0	up
Shox2	0.989	0.00201	up
Pcdh20	1.003	8.00E-05	up
Tnnt2	1.082	0	up
4930565A21Rik	1.086	0	up
G1p2	1.096	4.00E-05	up
Usp18	1.108	1.00E-05	up
4930565A21Rik	1.215	0	up
Irx5	1.3	0	up
Hoxc6	2.18	0	up
Wt1	2.38	0	up
