#2017-12-06
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is C:/new//platforms//GPL1261.an.txt.gz
#No probes removed from annotation.
#Expression data file: C:/new/AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE48622_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 45101
#number of samples: 16
#Factor: Genotype (4 levels): APLP2_KO: n=4, APP_KO: n=4, N_dC_KO: n=4, WT: n=4
#Factor: OrganismPart (1 levels): Hippocampus: n=16
#Factor: Gender (1 levels): M: n=16
#Factor: Timepoint (1 levels): 2_months: n=16
#
#
### Model test for factor: Genotype
#p-value: 0.00185810259135405; Statistic: 10.6778138012036; Expected: 7.10935249061112; Std.dev: 1.02109576229459; #Cov: 45101
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2017-12-06----Dataset: GSE48622
#Imported R objects: C:/new/AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE48622/results/GSE48622_objects.Rdata
#
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#16 samples, 45101 probes
#coefficients: (Intercept), GenotypeAPLP2_KO, GenotypeAPP_KO, GenotypeN_dC_KO
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeN_dC_KO
#  DE genes: 254, up: 58, down: 196
#GSE48622_N_dC_KO: original input has 45101 probesets; mapped probesets: 29597; probes mapped to multiple genes to be removed (except for insulin): 597; genes with multiple probesets are BH corrected. New data has 17584 genes.
GSE48622_N_dC_KO	GeneSymbols
0.00445004204948246	Sez6
0.00453386331975972	Ntsr1
0.00457337987702044	Clca4a
0.00457841981093159	Pdp2
0.00462940089207965	Vmn1r56
0.00467737577584207	Ankrd33b
0.00469335048157509	Zdbf2
0.00472288487413875	Apba1
0.00474110378179248	Mmp1a
0.0048560656275385	Inhbb
0.00485951533175553	Rapgef4
0.0048693981504389	Rbm45
0.00489636380478047	Tmem130
0.00490551203445965	Fnbp1l
0.0049323922969084	Mapk1ip1l
0.00493808582457116	Slc17a9
0.00501403087764949	Mpst
0.00504966219470485	Gm20754
0.00513551916757946	Efnb2
0.00515935847661768	Nhlh2
0.00517872798163558	Pfkfb2
0.0051853914846485	Pigt
0.00518765746599558	Zfp61
0.00518924526220358	Bean1
0.00519359402913688	Cadm1
0.0052059415838187	Tfap2c
0.00521041939791712	Col11a1
0.00525030667113057	Celrr
0.00527009536387381	1700029F12Rik
0.00530026202469521	Samd14
0.00535062125037796	Irgq
0.00535946504256146	Scyl3
0.00536039196590818	Kcnj10
0.00539241243703154	Ccdc33
0.00540276968206667	Thra
0.00549077851314596	Iffo2
0.00560411902801908	Acot11
0.00574787100978898	Duox1
0.00575195524123875	Mphosph9
0.00576651942492663	Wif1
0.00584897809931989	Supt16
0.00586661894499219	Ptprr
0.00587594277562028	Lhx1os
0.00588604656964477	Msc
0.00591986689178883	Tet1
0.00598120837646384	Plxna2
0.00600514466638079	Sfrp2
0.00619114450314204	Satb1
0.00621152938194331	St8sia4
0.00623752407227739	Celsr2
0.00623881066034648	Col25a1
0.00625684796730287	Herc4
0.00628457155679728	Ptn
0.00636203746441997	Lgalsl
0.00645486457692066	Snhg11
0.00650841353858587	Elovl5
0.00654485899521596	Serpina3n
0.00660904299899353	Il17b
0.00661983599518269	Sh3bp5l
0.0066298866328937	Glud1
0.00664622750507124	Kdm6b
0.00667980753571915	Tssk3
0.00671789192939128	Fut4-ps1
0.00682171126506245	Glce
0.00686257007922856	Plcl2
0.00687112935056851	Dpp6
0.00689645664098366	AI414108
0.00697288707162466	Fgf20
0.0069777937482663	Usp9y
0.00708804250630657	Gmcl1
0.00709591552895085	Rprd2
0.00710827520384832	Cacna1b
0.00710987652254938	Dpp10
0.00711333398491779	4933433F19Rik
0.0071182445048522	Klf10
0.00713320919357087	Lrig1
0.00714165340804589	Fgf9
0.00724264132940343	Pdzd3
0.00727985269493917	Man2c1
0.0072957539146273	4930483O08Rik
0.00739848205549237	Slc6a15
0.00749196346915101	Masp2
0.00749775498307492	Rhov
0.00751634405590952	Gpr26
0.00752626580504494	Slc39a14
0.00753842003881142	Serpina1c
0.00756411258355501	Tanc2
0.00762311133347311	Adamts16
0.00768772926790275	Srrm1
0.00772794125243729	Raph1
0.00776734655799956	Ttc5
0.00778805841174071	Lppr3
0.00780863957809772	Guf1
0.00782169774263424	Gabrb2
0.00783281515320409	Adgrl3
0.0078559697378511	Syt16
0.00791427310336625	Oxct1
0.00796601686429839	Pde4d
0.00799737540506162	1700080N15Rik
0.00801486278087612	Ppargc1a
0.00802673722119693	1700048O20Rik
0.00809370797338489	Aunip
0.00812496887990118	Hdac6
0.00814699775730494	Igip
0.00825925219615012	4930432J09Rik
0.00828712816351529	Cacna2d2
0.00829185566249604	Slc5a11
0.00842730805900104	Mir1931
0.00850698513194997	Tubb2b
0.00851639606928042	Ppp6r3
0.00855296229427789	3930402G23Rik
0.00860844506636973	Tst
0.00872802785336004	AW011738
0.00882185823749887	Nfia
0.00884036168547811	Rnf215
0.00896484193828836	Cbln1
0.00902163287651172	Lama1
0.00905427744875682	Ubn2
0.00910206104234211	Pou3f4
0.00911286413031151	Adgrl1
0.00911455384779337	Pom121l12
0.00917344731855097	1700011H14Rik
0.00919803303189011	Il5
0.00920209239486094	St8sia1
0.00921820153439505	Hcn1
0.00925804309124531	Lrrc16b
0.00932301572581402	Whrn
0.00935874186617639	Gja1
0.00937198436623522	5730420D15Rik
0.00939524299754778	Tmem91
0.00949965466733783	Tmem164
0.0095815687685318	Sobp
0.00964541925418078	Uggt2
0.00965773764479482	Lmtk2
0.00985048300030669	Dbt
0.00998584591497953	2310022B05Rik
0.0100572611072109	Grb7
0.0100875634321225	Zcchc2
0.0101136152439639	Nrep
0.0101397941098914	Dcx
0.0101448939349269	Slc37a4
0.0101751756794498	Dffb
0.0103005798948407	Gm11545
0.0103616128808531	Gda
0.0103863087367458	Foxs1
0.0103917630055185	Tnc
0.0104847575702944	Cpsf4
0.0104910500307904	Fat3
0.0104988444750567	Ubqlnl
0.0105317481833838	Mycn
0.0106350997470134	Sgpl1
0.0106936738624749	Ptprt
0.0107014725099058	Lhx3
0.01070336786628	Npas2
0.0107989542600189	Nalcn
0.0108137388770559	Fibp
0.0108233538059008	Hnrnpa3
0.010839429856241	Sdc3
0.010840203762188	Tet2
0.0108518398631601	Acsbg1
0.0108695692243703	Chst10
0.0108772910223317	Camk2g
0.0109115449298793	Flrt1
0.0109623223072935	Clasp1
0.0109715600070539	Nynrin
0.0109836087683875	Magel2
0.0110094291554345	Jade2
0.0110135160554203	Spatc1l
0.0110352153550368	Mapk8
0.0110885953224552	6430573F11Rik
0.0111369416515755	Krt72
0.0111735785433921	Pcdhb8
0.0111759230277996	Abca3
0.0111889375581859	Zdhhc21
0.0112548145301622	Tmsb10
0.011286653476047	Spp2
0.0113399230819198	Slc4a3
0.0113523049656769	Spon2
0.0113717388721367	Doc2a
0.0114440324623558	Cep170
0.0114472144511052	Bzrap1
0.0114705964960656	Scn1a
0.0115177170669402	Mal2
0.0115488913412418	Runx1t1
0.0115522372260179	Ces1h
0.0115750132140235	Rps18
0.0115994323740571	Podxl2
0.0116271377176194	Tbc1d24
0.0116930535263586	Rnf145
0.0117372191963319	Mpped1
0.0117440367900344	D730048I06Rik
0.0117677448683494	Esyt3
0.0117884971853232	Igfbp4
0.0118231807177356	Atg9b
0.0118697563781295	Rcor2
0.0118834323648405	Serpina3a
0.0119081100235745	4930470P17Rik
0.0119289755794217	Sec14l3
0.0119421686658732	Dtx1
0.0119448427313233	Cpa6
0.0120101815530574	Mut
0.0120159784597107	Lcn12
0.0120614163931475	Midn
0.0120627816330573	Cemip
0.0120742720978519	Atrnl1
0.0121105553249342	Fam49a
0.0121349105810324	Samd1
0.0121692569883324	Sprr2j-ps
0.0121763139748329	Rps17
0.012200779914577	Prtn3
0.0122207104086964	L1cam
0.0122392614558907	Dzip1
0.01224338740528	Pknox2
0.0122881132601617	Dbnl
0.0123088618495855	Fam83h
0.0123532721646312	Cap1
0.012385428259325	Slc16a5
0.0123919003283608	Etv2
0.012437077165617	Osbpl3
0.0124875304093542	Nxph1
0.0124986797001657	Rab3c
0.0125463967823674	Gdap10
0.0125692532386957	Dchs1
0.0127325675170466	Sept11
0.0127352717769857	Sh2d6
0.0127443591424145	Ppp1r3d
0.0127698161677355	Dlx1
0.0127812422926328	Fbn2
0.0128440326131558	Ubqln2
0.0128521525408101	Hivep2
0.0128894257874652	Dpysl5
0.0129552267516895	Cfap46
0.0130172053328835	Shd
0.013066423285564	Slc38a4
0.013085073653625	Sema4b
0.0131276338145508	Ubr4
0.0132112240840636	Gm17762
0.0132554593519783	Ankef1
0.013261505894362	Snapc4
0.0133412239051477	Icam1
0.0133910592515309	Cpn2
0.0134597439522222	Atxn1
0.0135476358471431	Hcar1
0.013644151020187	Depdc7
