#2017-12-06
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is C:/new//platforms//GPL1261.an.txt.gz
#No probes removed from annotation.
#Expression data file: C:/new/AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE48622_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 45101
#number of samples: 16
#Factor: Genotype (4 levels): APLP2_KO: n=4, APP_KO: n=4, N_dC_KO: n=4, WT: n=4
#Factor: OrganismPart (1 levels): Hippocampus: n=16
#Factor: Gender (1 levels): M: n=16
#Factor: Timepoint (1 levels): 2_months: n=16
#
#
### Model test for factor: Genotype
#p-value: 0.00185810259135405; Statistic: 10.6778138012036; Expected: 7.10935249061112; Std.dev: 1.02109576229459; #Cov: 45101
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2017-12-06----Dataset: GSE48622
#Imported R objects: C:/new/AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE48622/results/GSE48622_objects.Rdata
#
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#16 samples, 45101 probes
#coefficients: (Intercept), GenotypeAPLP2_KO, GenotypeAPP_KO, GenotypeN_dC_KO
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeAPP_KO
#  DE genes: 4, up: 1, down: 3
#GSE48622_APP_KO: original input has 45101 probesets; mapped probesets: 29597; probes mapped to multiple genes to be removed (except for insulin): 597; genes with multiple probesets are BH corrected. New data has 17584 genes.
GSE48622_APP_KO	GeneSymbols
1.50315822922256e-21	App
5.81658162579501e-05	Ldlrap1
5.98449168438883e-05	Sash3
6.08937606190603e-05	Stox1
6.76390778509904e-05	Tlr7
0.000165942475137298	Tnnt2
0.000171687707219343	Rbpms
0.000189776227110931	Plekhg3
0.000215969251959434	Fdft1
0.00022556249407795	Akr1c18
0.000249025160624312	Haus5
0.000249547029712913	Ccdc110
0.000263084974604548	Twf1
0.000300658320190699	Ints7
0.000312573443028892	Nrf1
0.000366852931319951	C1qc
0.000420200866879679	Brwd3
0.000451847565131986	Slc45a3
0.000484139178602226	Pgap3
0.00048544311797338	Pkib
0.000532091385264932	Dclre1b
0.000558964250991622	Ccdc173
0.00057922013012559	Fmo2
0.00058214010988687	Fam83d
0.00059529706535459	Dhcr24
0.000658160679605059	Ncf4
0.000667559355671793	Mif4gd
0.000692251357053956	Itpkc
0.000751373540809526	Tprn
0.000760688389238895	Srebf2
0.000769699704505263	Tmem125
0.00078546106726702	Rbm11
0.000787701756137656	Prkcq
0.0007886312480126	Nfe2l3
0.000811109839486868	Slc41a1
0.000823903526792477	Sqle
0.000831338081178809	Reep6
0.000859820148098187	Dnm2
0.000878192199931595	Ppp1r1b
0.000884400049325904	Smco3
0.000933547534692715	Gss
0.0009476370244991	Sirt2
0.000960001024325905	Cers2
0.000960665881841577	Elk1
0.000966564801229413	Acot5
0.000981509104219444	4930579G24Rik
0.00100370848586781	Gbe1
0.00106130980518764	Krt2
0.00106687807153025	Smim1
0.00108547556769746	Cryz
0.00109346558473339	Ikzf1
0.0011049093003207	1810008I18Rik
0.00115376672279891	Gcnt2
0.00116667287770708	Pirt
0.00121785326083926	Hnf1b
0.00125191901823634	9630013A20Rik
0.00126989237329355	1110007C09Rik
0.00131549820888425	Gpr37
0.00145795403686873	Moxd1
0.00145884446962171	Plat
0.00146768378823723	Pigk
0.00152830356906341	Il1rap
0.00155105528821147	Pdxdc1
0.0015546941406523	Il20rb
0.00157643090543584	Gal3st1
0.00163321474032212	Wnt3
0.00165862949478611	Mmab
0.00166406089007295	Pld4
0.00167215254203409	Cdc25c
0.00167643734907876	Tapbpl
0.00169089662094187	Qpctl
0.00169521007112654	Mcm8
0.00172921951703591	Eya4
0.00173197354353211	Maob
0.00177648170958522	Ddc
0.00178298502107155	Selplg
0.00181886463809233	Gdpgp1
0.00182301068584948	Nudcd1
0.00183336751841183	Znrd1as
0.00185600780880177	Cldn11
0.00191233900955944	Mlxipl
0.00199302376204164	Cd46
0.00200015795161255	Btnl2
0.00200896212678454	2310002L09Rik
0.0020439910310406	Dusp23
0.00206754786559639	Tppp3
0.002084669437675	Serinc5
0.00210908735814947	Dock10
0.00210964492134943	Ism1
0.00212158566875064	Dyx1c1
0.00217559593771749	Mag
0.00217698296527234	Tnfaip6
0.00218409246518846	Smcr8
0.00219121027343044	2810468N07Rik
0.00219717385186591	Htr1f
0.00220933944919459	Ctnnal1
0.00221529090675359	Tspan2
0.00221724324105239	Angptl1
0.00223148074920306	Kif12
0.00226802054796011	Endod1
0.00227804472947068	Phtf2
0.00234380573888085	Itgb2
0.00239190580290666	Mog
0.00242886776265459	6330409D20Rik
0.00244701725010559	Chst7
0.00256639082167791	E330034G19Rik
0.00274130692549576	Kank3
0.00276276484348883	Arhgef10
0.00278789469203812	Ceacam1
0.00281292005406177	Cenpe
0.00281448659979623	Mgat4c
0.00282650214789868	Sh3gl3
0.00286352060965002	Enpp4
0.00287256115739281	Hlcs
0.00288594638945377	Hhip
0.00288994676061575	Sema3d
0.00291706728270988	Akr1b10
0.00297743264690342	Myrf
0.00299374968991974	Usp25
0.00299446578552094	Gsn
0.00303341148581827	Ccdc81
0.00303360270313565	Otud7b
0.00306675585328968	Ikbip
0.00311427803000758	Ldoc1
0.00321163128060407	Pgm3
0.00321249554272772	9430020K01Rik
0.00321298638550705	Bank1
0.00325534966087472	Ankrd13a
0.00326510945765057	Senp5
0.00326996962167514	Nipal4
0.00334988686227625	Tfap2d
0.00338198770922497	Aspa
0.00338756308889088	Itgam
0.00341646574102554	Iba57
0.00349939515080487	Ninj2
0.0035404178657051	Kdm4a
0.00354075399522411	Nudt4
0.0035727473736484	Rhog
0.00359378393397842	Il12rb1
0.00359400882450938	S100a6
0.00360145988591752	B3gnt9
0.00361016342240963	Ly96
0.00365797387736988	Relb
0.00367708184150076	Zfp772
0.00369466468651495	Pllp
0.0036968925203884	Krt14
0.003743583551289	Ephx1
0.00384341766124739	Hps5
0.00386724174187879	Dram2
0.00390113495280227	Foxj1
0.0039035497173492	Clybl
0.003903854374926	Oxtr
0.00392965525577025	Pdlim2
0.00393024406819667	Agtr2
0.00400641387755491	Plxnb3
0.00403364180177775	Hrsp12
0.00403566891046492	Acot6
0.00403873709578354	Cox16
0.00407408388456247	Pla2g5
0.0040767610415743	Myo3b
0.00411266864836922	C1qa
0.00414782340566251	Kcnab2
0.0042749364155241	Rhag
0.00436321083624147	Glyctk
0.00437421197535841	Atp10b
0.00438319278693839	Ano4
0.00439147810859913	Slc46a1
0.00441281204361877	Poln
0.00441330260877446	Ano8
0.00444085191026303	Fcer1g
0.00452272507387877	Nufip1
0.00455243831427191	March8
0.0045694059502545	Cnp
0.00459986752576142	Sult1b1
0.00465529014896129	Sox8
0.00466227457091116	Ltc4s
0.00479013403502788	Slc25a32
0.00482935600858045	Tmem27
0.00492223212849342	Carhsp1
0.00492551621813756	Odf2l
0.00493420082265792	Vstm2b
0.00495312541913405	Cep295
0.00495573514961366	Acat2
0.00500507661801643	Insig1
0.00501562700142178	Hfe
0.00502747633083232	Dnajc3
0.00504075233179124	Oard1
0.00505964034844305	Sh3bp1
0.00511151575563658	Pqlc3
0.00513019695939578	Gpr101
0.00522361244650963	Rnf122
0.00529486149027962	AA414768
0.00531884497430717	Opalin
0.0054545531687907	Hsfy2
0.00548269803815303	Rtkn
0.00550097328446288	9530077C05Rik
0.00551306664448719	Iqub
0.00552498401324384	Fam53b
0.00553276783078488	Pcolce2
0.0055876743871072	Strip2
0.00565306828482435	Phlda3
0.00565514965055227	Cd86
0.00569681201445203	Hexb
0.00571128290059384	Slc9a9
0.00578284031442109	Dusp10
0.00579761902605727	Stt3a
0.0058021458304003	Chil1
0.00582275772509801	Rab31
0.00582537178536124	Egfl6
0.00582589789221135	D7Ertd443e
0.00585407327765164	Cdc42ep2
0.00586187009120413	Tbc1d8b
0.00586229054897841	Fbxo16
0.00587685604151465	Slc44a1
0.00590459016151284	Spag5
0.00592475175868303	B3galt2
0.00597327039365486	Ezh2
0.00601568811090142	Ms4a6d
0.00603987024058401	Mtbp
0.00604778745708877	Fam71e1
0.00609496862937278	Hmgcs1
0.00616723171895899	Znfx1
0.00617371459867682	Grb14
0.00617713581607534	Bud13
0.00627562110599645	Ino80dos
0.0062767143508072	Ttyh2
0.00631798130981402	Prkab2
0.006334702528796	Rdh10
0.00633724066428435	Cenpl
0.00636468789186446	Ankrd55
0.00639418307969513	Smr2
0.00644060466366516	Ptgs1
0.00646406367271228	Wnt10a
0.00649316467831798	Ptk7
0.00655173186197204	Ocel1
0.00656691500374334	Ccl9
0.00656949732432899	Rint1
0.00663392121578697	Farp2
0.00663885995569606	Gltp
0.00665254461696432	Rabl3
0.00665447700947078	Elovl1
0.00668715536377053	Cd163l1
0.00670962685283583	Ccdc102a
0.00670988838838577	Ugt8a
0.00673433584784815	Vamp3
0.00674494874392522	1810010H24Rik
0.0067860436452286	Ppp1r14a
0.00682180661309889	Tmem88b
0.00683969171937363	Ppp6c
0.00690438792098107	Slc12a2
0.0069202048652538	Psapl1
0.0069596892970647	Daam1
0.00697016030428619	Art3
0.00698157438845969	Sass6
0.00701106668762755	Haus7
0.00709077085566391	Gamt
0.00709511700615925	1500009C09Rik
0.00714665169648363	Elf4
0.00717386255730263	Glycam1
0.00720518204576688	Zfp36
0.00721046775573003	Pstpip2
0.00727038792893424	Slco1b2
0.00732331159872909	Aldh1a1
0.00732430427215773	Gca
0.00735797007780406	Etv1
0.00736074142367913	Plekhh1
