#2017-12-06
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is C:/new//platforms//GPL1261.an.txt.gz
#No probes removed from annotation.
#Expression data file: C:/new/AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE48622_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 45101
#number of samples: 16
#Factor: Genotype (4 levels): APLP2_KO: n=4, APP_KO: n=4, N_dC_KO: n=4, WT: n=4
#Factor: OrganismPart (1 levels): Hippocampus: n=16
#Factor: Gender (1 levels): M: n=16
#Factor: Timepoint (1 levels): 2_months: n=16
#
#
### Model test for factor: Genotype
#p-value: 0.00185810259135405; Statistic: 10.6778138012036; Expected: 7.10935249061112; Std.dev: 1.02109576229459; #Cov: 45101
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2017-12-06----Dataset: GSE48622
#Imported R objects: C:/new/AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE48622/results/GSE48622_objects.Rdata
#
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#16 samples, 45101 probes
#coefficients: (Intercept), GenotypeAPLP2_KO, GenotypeAPP_KO, GenotypeN_dC_KO
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeAPLP2_KO
#  DE genes: 58, up: 25, down: 33
#GSE48622_APLP2_KO: original input has 45101 probesets; mapped probesets: 29597; probes mapped to multiple genes to be removed (except for insulin): 597; genes with multiple probesets are BH corrected. New data has 17584 genes.
GSE48622_APLP2_KO	GeneSymbols
0.00363122559087739	Ifi35
0.00367508854229253	Arsg
0.00367953011273841	Tapbpl
0.00373989820907657	Pex5l
0.00375397402230621	Nnmt
0.00378508585801732	Mfn1
0.00378808333132892	Clec4a2
0.00387971940964281	Bace1
0.00388047516655486	Specc1
0.00389454595749589	Pts
0.00390999954072009	Cwc22
0.00403087938959116	Mphosph6
0.0040525547648617	Khdrbs1
0.00407054770904818	Lgals3
0.00408033201923248	2810002D19Rik
0.00409432335160767	Prl8a8
0.00414197634968892	Actl6a
0.00421341397762762	Slc30a7
0.00426865784187062	Lactb
0.00429024615937239	Usf2
0.00434842770207747	Sh3bp1
0.00434866711164912	Prim1
0.0043538585939891	Tyrobp
0.00437192843561328	Slc9a2
0.00440783861556735	Ccl12
0.00441935515130205	Ddrgk1
0.00449219432142993	Tnfaip6
0.00453526444080406	Gm11744
0.00456986007213703	Ccdc84
0.00463499336492293	Hells
0.00471196459295678	1700102P08Rik
0.00475227089681891	Smug1
0.00477125119696861	Pcdhb12
0.00479889332152484	Neurog2
0.00483056985260924	Dock2
0.00486095930041681	Dbi
0.00487367430268997	Ccl9
0.00499708967203389	Zfp712
0.00508753264266549	E4f1
0.00509894710825044	Ly6g6e
0.0051067241781319	Nrf1
0.00514116373248284	BC031361
0.00514581586165107	Nrde2
0.00516271514018493	Ddx27
0.0051805345616687	Syngr2
0.00520137604865122	Smad6
0.00520872202202591	Il1rl1
0.00523224728011244	Trim14
0.00526620027347678	Cd68
0.00526845846586013	Phtf2
0.00540514904102308	Arpp19
0.00545208977511731	Itpk1
0.00546394478792811	Rnf166
0.00547129529604566	Abca4
0.00553502879384678	Slc4a5
0.00556669335184146	4933422A05Rik
0.00561297622288594	Pdia6
0.00562647969807017	Polr3gl
0.0056831132076979	Rbm47
0.00571489446044445	Stk11ip
0.00574767215455368	Sf3b2
0.00575735347391396	2810417H13Rik
0.00591025362256262	Slc26a4
0.00594897730625821	Alox5ap
0.00605059465305217	Mettl20
0.00611921238500454	1700112E06Rik
0.0061701671073533	Sqrdl
0.00617862573821573	Stim2
0.00624720340955237	Tmem204
0.00629562878212631	A430035B10Rik
0.00633376370231464	Pkn1
0.00638983904605923	Prtg
0.00649213819448429	Ltk
0.00652142078143263	Galnt10
0.00655206258570029	Ctif
0.00664499467917127	B4galt7
0.00665287077019513	Rpl12
0.00665702451803027	C230035I16Rik
0.00665791821623561	Piga
0.0066864639949351	Ms4a10
0.00669031344864624	1600020E01Rik
0.00670015106681638	Inpp5d
0.00673205191346361	Lpxn
0.00673755332536152	Pkib
0.0068200525058272	Cox7b2
0.00684519829832216	Itgam
0.00685446566429959	Tmem254a
0.00688709826564743	Bbs12
0.00692422635484636	Rpl21
0.00694663918437905	Mlh1
0.00700433963266058	Fam122a
0.00700574579993453	Riok1
0.00710837719883128	Scnm1
0.00715531971068303	Cercam
0.00716824897346026	Tanc1
0.00722654671765112	Tbc1d7
0.00724526074916833	Alox12b
0.00729043107334982	Tifab
0.00736216582489048	Srrt
0.00738997124718175	Colec11
0.0074333504635528	Ptprc
0.00746353312952526	Rnf214
0.00748659712629758	Car12
0.00752244269781967	Tspan18
0.00753079259919838	St5
0.0075514681056129	Git1
0.00761601695041983	Fam210b
0.00762303025313845	Snrnp48
0.00766630421255581	2300009A05Rik
0.00767442596907594	Cyp2d22
0.00768858243541803	Pdxdc1
0.00784802665224017	Insl5
0.00791163594603922	Trmt1
0.00795913779505309	Zkscan3
0.00799504378219874	4930579G24Rik
0.00804214920191387	Hspa1a
0.0080630321091344	Trip6
0.00808619172024778	Hnrnpa1
0.00809852657706027	Gpr22
0.00809869573233003	Gcnt2
0.00816580865102845	Rxra
0.00816583924547243	Fam189a1
0.0081705020560352	Trappc4
0.00817467984497417	Rsad2
0.00818502948345689	Calcr
0.00821121782199305	Krt2
0.00823682499914339	Habp4
0.00832858349070525	Gngt2
0.00837243375633564	Rgs8
0.00841907230066942	4833427G06Rik
0.00851923295322564	Slc35b1
0.0085240975073087	Bhmt
0.00853397692884861	Wnt10a
0.00853856634386329	Il20rb
0.00854191532130135	Dnajc3
0.00860820163250376	Pygm
0.00864881832962903	Apoh
0.00874216212885503	Pik3cg
0.00884934537478919	Tbce
0.00886947444345858	Rasal3
0.00890027815575349	Gmppa
0.0089083095635054	Gucy1a3
0.00893450204123322	Hexb
0.0089685141246211	Sc5d
0.00899008658027186	Smim1
0.00900317314818426	Ankef1
0.00902775741652382	Ttc9
0.00902783670647132	Sdf4
0.00903968065610503	Sh2d5
0.00907588526630963	Nanp
0.00911541418423973	C3ar1
0.00912359360082604	Hemk1
0.00914991503299483	Trim30a
0.00915767134703687	Rtp4
0.00917894488039702	Agtr2
0.00925658765574891	Abhd14b
0.00927185573387564	Emcn
0.00929322473089955	Col12a1
0.00930925688885965	Tbc1d4
0.00932976800731341	4933402D24Rik
0.00937436308843916	Ank2
0.00949345465115126	Csnk1e
0.00955144103774039	Lurap1l
0.0095604155036474	Cenpv
0.00956388848068141	Tspan33
0.00960385944826693	Hsp90b1
0.00961058440804928	Zfp429
0.00970740016774141	Clec4n
0.00973179683078819	Pik3cd
0.00977774129857639	Foxred1
0.00978403898533779	Adra2c
0.00987495110832585	Cfap69
0.0100258649008328	Slco1a5
0.010063231434347	Ccdc146
0.0101525083127781	Acot5
0.0102818800219736	Plxnb2
0.0103311278988747	Rpa2
0.0103357697539406	Cryab
0.0103392597920027	Adam8
0.0103671556551552	Ccdc167
0.0104270796129233	Svopl
0.0104284626394865	Rasgef1a
0.0104516854147675	Ptgs2
0.0104803874603867	Atp10d
0.0105080148822435	Runx2
0.0105314414601936	F5
0.0106940742536146	Dpf2
0.0107260603125391	Akip1
0.0107397158450351	Fbp1
0.0108364073710489	Gm15417
0.010900852433538	Wfdc18
0.0109876167104791	Nrip2
0.0110048751691295	Gtf2h2
0.0110889805505496	Dennd6b
0.0111288609453273	Aif1
0.0112320972493033	Ncoa5
0.0112842708197121	Ttc30a1
0.0112860315616686	Cyth4
0.0113935882044261	Atg14
0.0114721155473701	Hck
0.0114834744871818	Adh1
0.0114874240001982	Pex2
0.0114896322716555	Gcat
0.0115079516402617	Limd2
0.011629994081687	Pdia4
0.011691641649383	Vimp
0.0117189663389252	Ppapdc3
0.0117314104331559	Col5a3
