#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL6885
#No probes removed from annotation.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE64398.1_neqc_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 25697
#number of samples: 112
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=15, ho_TASTPM: n=15, TAS10: n=13, TAU: n=15, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=112
#Factor: Batch (3 levels): Batch_01_2012-02-25: n=33, Batch_02_2013-03-04: n=78, Batch_03_2013-06-26: n=1
#Factor: Gender (1 levels): M: n=112
#Factor: Timepoint (4 levels): 18_months: n=24, 2_months: n=32, 4_months: n=27, 8_months: n=29
#
#
### Model test for factor: Genotype
#p-value: 0.0244722851065837; Statistic: 1.44878723355293; Expected: 0.909000791576573; Std.dev: 0.221706554875654; #Cov: 25697
### Model test for factor: Batch
#p-value: 4.20889513975337e-29; Statistic: 19.1481006227809; Expected: 0.908948626581019; Std.dev: 0.454022979505226; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 0.00803129149744232; Statistic: 1.82961689319919; Expected: 0.908992657887118; Std.dev: 0.271350267850959; #Cov: 25697
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#4 sample(s) removed: TPM_2m_Hipp_rep4, TAU_18m_Hipp_rep1, TAU_18m_Hipp_rep2, TAU_2m_Hipp_rep1
#Reason for removal: TPM_2m_Hipp_rep4 is the only one belongs batch3; sample correlation outliers; sample correlation outliers; sample correlation outliers
#number of samples after removal: 108
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=14, ho_TASTPM: n=15, TAS10: n=13, TAU: n=12, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=108
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=30, Batch_02_2013-03-04: n=78
#Factor: Gender (1 levels): M: n=108
#Factor: Timepoint (4 levels): 18_months: n=22, 2_months: n=30, 4_months: n=27, 8_months: n=29
#
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2018-03-29
#number of rows: 25697
#number of samples: 108
### Model test for factor: Genotype
#p-value: 1.11026000906088e-06; Statistic: 1.93569837117945; Expected: 0.943298789165126; Std.dev: 0.134662287771227; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.99999999995869; Statistic: 0.282013883764099; Expected: 0.934579439252336; Std.dev: 0.291091146623718; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 3.28159146071282e-06; Statistic: 2.04317003911872; Expected: 0.943291613329555; Std.dev: 0.16366871160103; #Cov: 25697
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE64398.1
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE64398.1/results/GSE64398.1_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('2_months') are kept for analysis. 
#New dataset contains 30 samples. Original sample size: 108
#Factor: Genotype (6 levels): WT: n=12, het_TASTPM: n=4, het_TPM: n=3, ho_TASTPM: n=4, TAS10: n=4, TAU: n=3
#Factor: OrganismPart (1 levels): Hippocampus: n=30
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=8, Batch_02_2013-03-04: n=22
#Factor: Gender (1 levels): M: n=30
#Factor: Timepoint (1 levels): 2_months: n=30
#
### Model test for factor: Genotype
#p-value: 0.0178903457907119; Statistic: 4.77253769445988; Expected: 3.56661490754674; Std.dev: 0.499279056171907; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.758893406649396; Statistic: 2.65177481397871; Expected: 3.44827586206897; Std.dev: 1.09666057912493; #Cov: 25697
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#30 samples, 25697 probes
#coefficients: (Intercept), Genotypehet_TASTPM, Genotypehet_TPM, Genotypeho_TASTPM, GenotypeTAS10, GenotypeTAU
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeTAS10
#  DE genes: 23, up: 16, down: 7
#GSE64398.1_TAS10: original input has 25697 probesets; mapped probesets: 24643; probes mapped to multiple genes to be removed (except for insulin): 1086; genes with multiple probesets are BH corrected. New data has 16349 genes.
GSE64398.1_TAS10	GeneSymbols
0.00609093625137041	Aars2
0.00609174500258989	Tmod4
0.00609772642086558	Enpp6
0.00611160281122074	Fxn
0.00620691946209609	Dsp
0.00621359197016688	Stac2
0.00627067065089836	Susd6
0.00627123494036896	Gls2
0.00641433701218676	Ano6
0.00643062301629447	Ryk
0.0064513011015113	Appl2
0.00665397366114872	Fam83a
0.00676592006140104	Ifit1
0.00677701595093885	Itga7
0.00679511679774833	Gm5127
0.0067987949945432	Gfap
0.00682896471813328	St5
0.00688507760009096	Vmn1r27
0.00690470115769871	Nrp1
0.00690543440716212	Ttyh2
0.00699297196966235	Sbk1
0.00700556796261686	Grem1
0.00712520102365803	Diexf
0.00720735582148554	Zcchc9
0.00721262398214068	Selenom
0.00721708043402463	Fam53b
0.00729612770289164	Gpnmb
0.0073093028453039	Polr2j
0.0073132969812703	Sh3gl1
0.00731556628253077	Sntb2
0.00742331921664925	Pura
0.00753306238705938	Bax
0.00756297148848252	Fastkd5
0.00761588600840642	Slc17a8
0.00761726952988135	Mterf4
0.00766094367090518	Gpd1
0.00766493116669519	Trpc6
0.00770233462685101	Zeb2
0.00773896533409499	Slc15a2
0.00776022069380249	Mcub
0.00777057657887252	L1td1
0.00781247641188874	Sept3
0.00781777758347867	Fst
0.00789136648549756	Cyfip2
0.00791305258701871	Creb3l2
0.0079363702230102	Tbcel
0.00794027531825805	Csf1
0.0080526349258952	Cryab
0.00810681814397509	Map4k5
0.00812751664108322	Fam109a
0.00822464155050136	Swi5
0.00825685495814836	P4ha1
0.00830075067380927	Vgll4
0.00832574824125773	Dbt
0.00836783374033021	Tmem167b
0.00837484803160201	Ehd1
0.00843422880650677	Errfi1
0.00846611298707435	Sptlc2
0.00857046229349711	St7
0.0085841941930985	Bag3
0.00862224843864322	Prdm9
0.00872435919228425	Gpld1
0.00888625197606147	Zfp189
0.00905254496440708	Tex2
0.00910337744397122	Nes
0.00920425790587617	Cep97
0.00924975904371609	Kcnab3
0.0093700080069349	Kcng4
0.00937631604705284	Olfr31
0.00939706986855305	Tyk2
0.00941623745607892	Copb1
0.0095594051810704	Olfr543
0.00966425864321518	B4galt1
0.00968954978394587	Chchd1
0.00978809668655931	Hapln2
0.00980801774721962	Pgpep1
0.00983874600192634	Mxra7
0.00989566809930996	Mt1
0.00994376541157021	Tbc1d10b
0.00997525574119724	Emp1
0.0100398789838021	Diaph3
0.0100525244369375	Plekhb1
0.0100797256016523	Fxyd1
0.010150109706021	Slc44a1
0.0101598169226364	Pcyt1a
0.0102498489711661	Med31
0.0102510805453732	Maml2
0.0103702139482245	Smim11
0.0103838117342613	Trps1
0.0104965727859924	Muc5ac
0.0105539518062386	Nrd1
0.010564578164754	Rimbp3
0.0106172378885231	Acot11
0.0106971960825166	Ss18l1
0.0107663542562633	Kcnab1
0.0107923782105022	Qdpr
0.0108415186569474	Il27ra
0.0108629071501324	Klf9
0.0108643257563498	Dapp1
0.0109366833348377	Epn2
0.0109519913704875	Prkx
0.0111051132717944	Traf6
0.0111259500732517	Myl12a
0.011186440298467	AI593442
0.0111922026321046	Myh9
0.0111958877923888	Rnf112
0.0113037717471347	Glo1
0.0113475747211204	Megf10
0.0113707477044899	Evi2a
0.0114454455272002	Ccdc134
0.0114662938870452	Olfr1240
0.0114774912410231	Gpt2
0.011512259220153	Rab8b
0.0116203392661576	Ly96
0.0116483139081306	Pygb
0.0117074981448319	Ripk3
0.0117126078808157	Zfp551
0.0117211015778525	Osbp2
0.0117718486958004	Hist2h4
0.0117903735304665	Tmem114
0.0118542188101226	Sebox
0.0118901151542327	Prr18
0.011905316130919	Stag2
0.0119075986102113	Diras2
0.0119354807950283	Dbndd2
0.0120934449742321	Serf2
0.01211546430317	Calm3
0.0121487323345636	Stxbp5l
0.0123040935667353	Ccdc28b
0.012336795763679	Dcbld1
0.0124630369645332	Xrcc4
0.0124636028153312	Pcdhb16
0.0124825053139194	Zfand4
0.0126007590041656	Lgals1
0.0126414011267757	Sdc4
0.0126978004520908	Oaf
0.0127334851833743	Dhx33
0.0127737110450135	Sec23ip
0.0127975236540577	Mrpl15
0.0128239261069841	Clk4
0.0128247132037605	Serpinf1
0.0128293810276048	Nutm2
0.0128820812093772	Mtnr1b
0.0128821392503839	Nedd1
0.0128876733307776	Sass6
0.0129719328188155	Pqlc1
0.0130636967444119	Wscd1
0.0130939288287833	Plek
0.0131017910731086	Uap1l1
0.0131299146146082	Ptrh2
0.0131660494425993	Katnal1
0.0132446179813864	Cachd1
0.0132509897915386	Pcdhb3
0.0133113381168611	Snx30
0.0133991385659164	Nrl
0.0134203505229859	Rgcc
0.0134661173470203	Iyd
0.0135914820887265	Gpc1
0.0138320376379679	Acp6
0.013850281797769	Pycr2
0.0139077913945561	Ndufb3
0.0139426340279748	Fbxo4
0.0139852358842235	Zbtb5
0.0139888426632898	Msh2
0.0140014369479713	Cluh
0.0140119506863397	Iqcc
0.0141446454698501	Ociad2
0.0142644430408884	Piwil2
0.0144203919946193	Sec14l1
0.0144225090072331	Olfr514
0.0144405556389485	Amer3
0.0144741370311038	Cnp
0.0145201986341865	Vcl
0.014633633741269	Ccnd2
0.0147392876334828	Slc43a2
0.0147542283034484	Rpl24
0.0148281779858843	Onecut2
0.0148332727397477	Cyp7b1
0.0149273924485966	Mtmr1
0.0149354203103557	Adora1
0.0149413657188818	Gng2
0.0149651588127073	Acan
0.0149893255681591	Pdk4
0.015000922910154	Rerg
0.0150183385854083	Zhx3
0.0150554265210403	Slc27a3
0.0150852573490885	Pak4
0.0151710603513977	Mcam
0.015363619272265	Hpca
0.015419422812261	Csnk1d
0.0155210299998581	Plpp7
0.0155761621760738	Tmod3
0.0155816235974649	Rell1
0.0156156969263496	Otub2
0.0156754850534001	Sema7a
0.0156855836455774	Trim59
0.0157998984139163	Ddost
0.0158677802126901	Ttn
0.0158705145463057	Rangrf
0.0159525097324811	Fgf5
0.0160008030460999	Emc3
0.0160271463358604	Olfr152
0.0161000472007181	Mta3
0.0161144859239588	Cplx2
0.0161212722998489	2610507B11Rik
0.0161441156834037	Fgfr2
0.0161476129220212	Reep3
0.0161681300158408	Insc
0.0161831894033056	Zfp143
0.016187069828135	Fkbp14
0.0161889902536273	Nadk
0.0162359958785267	Cys1
0.0163715499192918	Birc2
0.0163866119981633	Lce3a
0.0164237085312877	Lrp4
0.0164601292189026	Lpar4
0.0166536105530578	Gse1
0.0166548806155027	Olfr1477
0.0166603966541862	Trip10
0.0166628751964455	Ankrd17
0.0166776508535268	Rps25
0.0166777325639215	Acat1
0.0167053377718325	Glul
0.0167065431186898	Slx1b
0.016739926052467	Trhde
0.0168304946658734	Tcf15
0.0169083793285115	Mbp
0.0169104748455317	Ss18
0.0169727430464627	Fdx1
0.017146843105405	Pdcd1lg2
0.0172918580131238	Dmrta2
0.017360196847459	Sap18
0.0173665870728535	Ptpn11
0.0174140965944448	Gcnt7
0.0174313881569319	Aco2
0.0174454317935684	Tomm7
0.0174532424290986	Tmed9
0.0174849999160404	Creg2
0.0174895004579123	Ppbp
0.0175124969257075	Camkk1
0.0176288922433688	Rpl13a
0.0176604921370313	Rps27l
0.0177044193849561	Bok
0.0177505831324738	Upp1
0.0178101512320997	Polr3a
0.0178433498429006	Acp5
0.0179302549631868	Mmp10
0.0179646887543397	Rnpep
0.0181219226766122	Ngdn
0.0181335067689625	Trove2
0.0181648300806705	Aknad1
0.0181796852259332	Nfkbie
0.0182178535075197	Utf1
0.0183431291530065	Rasgrf1
0.0183982208985985	Sec61a1
0.018400368744071	4933415F23Rik
0.0185335663949898	Klra17
0.0185379285664957	Gmeb1
0.0185519174617064	Synrg
0.0185654675421897	Tnfrsf25
0.0185682006164945	Rhog
0.0185865470336384	Ppic
0.0186295521589797	Nefh
0.0186381952699955	Add2
