Sample	15m_bfb_AD11_rep1	15m_bfb_AD11_rep2	15m_bfb_AD11_rep3	15m_bfb_AD11_rep4	15m_bfb_AD11_rep5	15m_bfb_VH_rep1	15m_bfb_VH_rep2	15m_bfb_VH_rep3	15m_bfb_VH_rep4	15m_bfb_VH_rep5	15m_ctx_AD11_rep1	15m_ctx_AD11_rep2	15m_ctx_AD11_rep3	15m_ctx_AD11_rep4	15m_ctx_AD11_rep5	15m_ctx_VH_rep1	15m_ctx_VH_rep2	15m_ctx_VH_rep3	15m_ctx_VH_rep4	15m_ctx_VH_rep5	3m_bfb_AD11_rep1	3m_bfb_AD11_rep2	3m_bfb_AD11_rep3	3m_bfb_AD11_rep4	3m_bfb_AD11_rep5	3m_bfb_VH_rep1	3m_bfb_VH_rep2	3m_bfb_VH_rep3	3m_bfb_VH_rep4	3m_bfb_VH_rep5	3m_ctx_AD11_rep1	3m_ctx_AD11_rep2	3m_ctx_AD11_rep3	3m_ctx_AD11_rep4	3m_ctx_AD11_rep5	3m_ctx_VH_rep1	3m_ctx_VH_rep2	3m_ctx_VH_rep3	3m_ctx_VH_rep4	3m_ctx_VH_rep5	3m_hp_AD11_rep1	3m_hp_AD11_rep2	3m_hp_AD11_rep3	3m_hp_AD11_rep4	3m_hp_AD11_rep5	3m_hp_VH_rep1	3m_hp_VH_rep2	3m_hp_VH_rep3	3m_hp_VH_rep4	3m_hp_VH_rep5
15m_bfb_AD11_rep1	NA	0.992270117308419	0.98038971383255	0.99123048955169	0.991900393475112	0.989571989262786	0.990969415911809	0.991595331960591	0.989799817385091	0.988064822356585	0.987201386520988	0.987860402114808	0.986917585387657	0.986935614901245	0.986428129366998	0.987812229516929	0.987696342333985	0.989904468528882	0.986937590540826	0.986818647345644	0.989433300467681	0.9930283240551	0.991806206318625	0.991078053681616	0.993306112909965	0.988427950891591	0.9880833282319	0.990086733482469	0.989358942624493	0.984707779993032	0.985615433808048	0.985569853243958	0.985392464786225	0.98281666244014	0.982096264021701	0.98488576038869	0.982308642711672	0.978947581280233	0.981401288159934	0.981931036599676	0.984900563281722	0.988826287728539	0.979834728536352	0.981959049885721	0.982298144072577	0.983056232099553	0.984766879258364	0.985268881275447	0.985656664727499	0.973015761438304
15m_bfb_AD11_rep2	0.992270117308419	NA	0.980647723761567	0.990868305111178	0.994142907046273	0.994766809364215	0.984100099756334	0.99587914350892	0.993967526163649	0.995124146660334	0.992983710577164	0.992122556328227	0.992945681636022	0.991000867759447	0.9912936713198	0.992193531457808	0.991739845929833	0.992401113613967	0.991409179441399	0.988931520058765	0.981122305329393	0.990084526843957	0.98615026392162	0.988398437641348	0.991191229687959	0.991859946352137	0.992112576061997	0.987158772298326	0.984815068256423	0.988932120466296	0.990681708285244	0.990238363186368	0.990342450159333	0.986062633810174	0.989281726381016	0.990250040846632	0.985462042007251	0.984140043619714	0.985903972055062	0.983997540232751	0.986389125709684	0.989142709621504	0.983653490510532	0.985314160365241	0.985466662273201	0.985790131969859	0.984712830112391	0.987315729731865	0.988181685021012	0.973388871626014
15m_bfb_AD11_rep3	0.98038971383255	0.980647723761567	NA	0.981359219426435	0.981224932578273	0.978502392581026	0.972921401835683	0.978966895648048	0.979616935037967	0.975376560533946	0.973244323398669	0.97620787744956	0.97531479194691	0.97152281401659	0.974773958102178	0.975179604900789	0.977063437525969	0.975931074640203	0.97622432886709	0.973957581177264	0.969038934273342	0.979781589440593	0.977851587044775	0.974127288573544	0.980911719151891	0.976512860549524	0.976831801144636	0.973235028272325	0.971520037865817	0.973976001685633	0.973394998364767	0.975265825089027	0.974158359403045	0.96786956499907	0.973472858455668	0.972640980556845	0.968509461221824	0.963478829982798	0.967550695711935	0.967384301148932	0.970185444490574	0.974284324097499	0.966084156763417	0.970422475819919	0.969897942106276	0.968964653319518	0.97034427036853	0.971330515024407	0.972933025892074	0.956894549037558
15m_bfb_AD11_rep4	0.99123048955169	0.990868305111178	0.981359219426435	NA	0.996252818630869	0.98997733029131	0.986846026278737	0.992298846433538	0.988963513125936	0.988188759164928	0.983765726904612	0.987147718537487	0.986728785181269	0.981953274611723	0.986464746641244	0.986425485793424	0.988009112428401	0.986318402976091	0.988164365002424	0.984784275835875	0.980041883124878	0.989472073766944	0.988297775951575	0.988364510869939	0.991698063936716	0.986835093827261	0.987479537046146	0.986657747190365	0.983183707901612	0.984731518736112	0.984235921986887	0.985037288922689	0.984986874978927	0.977528060361844	0.982805023335396	0.983787741965705	0.978995056451701	0.974152808431312	0.978438742723607	0.97847311760346	0.98185730039136	0.985757551303775	0.979222418982185	0.983051029875458	0.982595696499289	0.980882359525184	0.9827928757587	0.983321809141618	0.984951357862042	0.967925935870979
15m_bfb_AD11_rep5	0.991900393475112	0.994142907046273	0.981224932578273	0.996252818630869	NA	0.991473709050441	0.986157250308575	0.99520198295239	0.990557389697832	0.991533193969211	0.987709755911195	0.989577681406896	0.989421909016864	0.985722720931709	0.988148741187616	0.989270216419881	0.989416415910815	0.988541098662954	0.9896086233012	0.987232376796275	0.980205441155568	0.990367584458255	0.988679480173437	0.990370944766322	0.992950156543017	0.989609209829675	0.989524560954184	0.988461548360301	0.984796368103307	0.98715545197837	0.987775747204164	0.987905354200446	0.987512861204712	0.981670295699419	0.985073235406961	0.987103610346053	0.981059604548927	0.977871916311362	0.981429017761754	0.980421472045908	0.98423473615824	0.9880733989707	0.982053804626395	0.985029043495435	0.984391201483982	0.984309026504322	0.984391200701452	0.985604729325518	0.986845581882748	0.969151016024176
15m_bfb_VH_rep1	0.989571989262786	0.994766809364215	0.978502392581026	0.98997733029131	0.991473709050441	NA	0.983873970772674	0.994688455001222	0.994929803625747	0.995101873058821	0.991241271486435	0.991743231923556	0.992612440621792	0.991915637750681	0.990855925182684	0.992192249126206	0.991759572828326	0.992704505557931	0.992423361006206	0.987830335599041	0.981873719722401	0.98766256239817	0.98389885164375	0.986589097595464	0.988127429303948	0.99091456185216	0.991955186628635	0.985390040264655	0.984566626329894	0.987428560705132	0.989859534785773	0.98910636897514	0.99192416090549	0.986248898765473	0.991650999767121	0.991499042012021	0.989643925091317	0.987137353239551	0.988388777937665	0.987872175816493	0.98613971561205	0.987789080849853	0.983283390216069	0.985585739532676	0.985754571829324	0.984770939056362	0.984595696052089	0.988229537342189	0.989660193832454	0.980171324449381
15m_bfb_VH_rep2	0.990969415911809	0.984100099756334	0.972921401835683	0.986846026278737	0.986157250308575	0.983873970772674	NA	0.987160212462093	0.982562934081436	0.982016998273842	0.97892466701145	0.979018119329493	0.978649633393898	0.976974919898859	0.982574430930175	0.98053590400873	0.982318758136476	0.98325619479473	0.983033572743685	0.981569602299144	0.985994379752364	0.988995623188596	0.987561517499167	0.98688986428277	0.98593982541508	0.982613446946491	0.983412934540257	0.98958369185809	0.985373220486139	0.97844946821965	0.980414510265726	0.981582512687369	0.980017858318116	0.979308167736611	0.976166648788618	0.978501077932613	0.977602867594617	0.972879820162725	0.975067155755488	0.974978201935265	0.979362465551579	0.985168065870131	0.974585953075924	0.974677968033768	0.978621007027023	0.982055865706685	0.981671287576707	0.981090352664829	0.982156487450751	0.968933128523453
15m_bfb_VH_rep3	0.991595331960591	0.99587914350892	0.978966895648048	0.992298846433538	0.99520198295239	0.994688455001222	0.987160212462093	NA	0.993168486248751	0.995605529514956	0.993078589869325	0.992876157375209	0.992731016691356	0.990186736040686	0.992021539880969	0.994046860607443	0.993364567641048	0.993176661214428	0.99246492605874	0.990530953505055	0.982068152824134	0.989477785946248	0.985940145221525	0.99087533446355	0.990943170777859	0.993470321824958	0.993565367568596	0.99041598058895	0.98662578002694	0.988736928934081	0.992172243421454	0.99121310011771	0.990820863835875	0.985943451580656	0.989022436589338	0.992230593203201	0.986954716910177	0.986461042624434	0.988227264137028	0.986167242721987	0.987190983199267	0.990456595391585	0.984654352193595	0.985985781722004	0.98536167329517	0.987380053631524	0.986854045508598	0.988185659237764	0.989510785145126	0.973745192546087
15m_bfb_VH_rep4	0.989799817385091	0.993967526163649	0.979616935037967	0.988963513125936	0.990557389697832	0.994929803625747	0.982562934081436	0.993168486248751	NA	0.994651578399284	0.991666718843608	0.993599251333108	0.993729396363152	0.99094836097127	0.991730848892224	0.992851298265667	0.993949335944835	0.993911505531702	0.994110940164611	0.990382223319816	0.982383142933298	0.990142132592039	0.987532624460221	0.987166730113308	0.991351127317868	0.993213791528374	0.993965908214746	0.987087965493351	0.98756165935772	0.988188709362903	0.990264615653646	0.990745232095593	0.992571161380316	0.98568864577304	0.991834342166685	0.992367547612916	0.989993629224317	0.987005670200514	0.989887275694854	0.989191524957153	0.985090855401968	0.988044225244748	0.983499717282211	0.985231149573726	0.985698669768749	0.98415147376128	0.984573172118148	0.987588383808429	0.989136891094209	0.977741836657407
15m_bfb_VH_rep5	0.988064822356585	0.995124146660334	0.975376560533946	0.988188759164928	0.991533193969211	0.995101873058821	0.982016998273842	0.995605529514956	0.994651578399284	NA	0.99306482321486	0.993352773497232	0.994089691348163	0.991894853234418	0.992272200036565	0.993618723450171	0.993195624397533	0.993161194791525	0.993498856006922	0.989359566772981	0.97897271867031	0.986813058342869	0.982877474325966	0.986693591425025	0.988295181590329	0.991960834578759	0.992822087389822	0.986292049825765	0.984219637233727	0.989626816323946	0.99200846527294	0.990612663371011	0.992834442694508	0.987014804257025	0.991678822216867	0.99341579733295	0.9883599245626	0.987101907550922	0.988389814681512	0.986942718883502	0.986591998580502	0.988898240669456	0.985054387736598	0.985861107020468	0.986559573250294	0.986942596001419	0.985309108729688	0.988629682082175	0.990117218042714	0.975970388377889
