geneSymbols	cell_type	region
Adamts4	Oligo	Striatum
Anln	Oligo	Striatum
Apod	Oligo	Striatum
Aspa	Oligo	Striatum
Cldn11	Oligo	Striatum
Cryab	Oligo	Striatum
Ctsk	Oligo	Striatum
Ddc	Oligo	Striatum
Elovl7	Oligo	Striatum
Fa2h	Oligo	Striatum
Gal3st1	Oligo	Striatum
Gamt	Oligo	Striatum
Gjb1	Oligo	Striatum
Gltp	Oligo	Striatum
Grb14	Oligo	Striatum
Gsn	Oligo	Striatum
Hapln2	Oligo	Striatum
Josd2	Oligo	Striatum
Lad1	Oligo	Striatum
Lims2	Oligo	Striatum
Lpar1	Oligo	Striatum
Mag	Oligo	Striatum
Mal	Oligo	Striatum
Mbp	Oligo	Striatum
Mcam	Oligo	Striatum
Mobp	Oligo	Striatum
Mog	Oligo	Striatum
Ndrg1	Oligo	Striatum
Nkain1	Oligo	Striatum
Nkx2-2	Oligo	Striatum
Nkx6-2	Oligo	Striatum
Olig2	Oligo	Striatum
Pdlim2	Oligo	Striatum
Phldb1	Oligo	Striatum
Plekhf1	Oligo	Striatum
Plekhh1	Oligo	Striatum
Pllp	Oligo	Striatum
Plp1	Oligo	Striatum
Ppp1r14a	Oligo	Striatum
Ptgds	Oligo	Striatum
S1pr5	Oligo	Striatum
Sept4	Oligo	Striatum
Sgk2	Oligo	Striatum
Slain1	Oligo	Striatum
Slc44a1	Oligo	Striatum
Sox10	Oligo	Striatum
Thbs3	Oligo	Striatum
Tmeff2	Oligo	Striatum
Tmem163	Oligo	Striatum
Tmem98	Oligo	Striatum
Trim59	Oligo	Striatum
Tspan2	Oligo	Striatum
Ugt8a	Oligo	Striatum
