Sample	Tg4510_rep1	Tg4510_rep2	Tg4510_rep3	Tg4510_rep4	Tg4510_TFEB_rep1	Tg4510_TFEB_rep2	Tg4510_TFEB_rep3	Tg4510_TFEB_rep4	WT_rep1	WT_rep2	WT_rep3	WT_rep4	WT_TFEB_rep1	WT_TFEB_rep2	WT_TFEB_rep3	WT_TFEB_rep4
Tg4510_rep1	NA	0.992293984947231	0.994595839084026	0.997856852462935	0.993226670909434	0.99799385449999	0.996382534067123	0.995509576362327	0.990372972990854	0.993075180910376	0.996086885362074	0.994185605879711	0.995327855720562	0.994027077947963	0.994307466509841	0.994102878730429
Tg4510_rep2	0.992293984947231	NA	0.992680625678594	0.99328502229936	0.991304302453766	0.992026139095901	0.992277067277482	0.990968019996675	0.994472713852495	0.991702789031513	0.991448301418619	0.990878931306122	0.989554808192177	0.987475747912764	0.988713530416145	0.989013567372601
Tg4510_rep3	0.994595839084026	0.992680625678594	NA	0.99446410702826	0.996206898151236	0.993914478514887	0.994965771744365	0.995059628974122	0.988469248625536	0.993659092583869	0.991926982591806	0.99270488809336	0.993749751079256	0.989182918241509	0.990787484809018	0.994506387118659
Tg4510_rep4	0.997856852462935	0.99328502229936	0.99446410702826	NA	0.993148875298499	0.996855870583957	0.995457464686465	0.995014768100841	0.990449833091011	0.991971256103107	0.995926325633906	0.993299129572593	0.994418467406833	0.993237473104518	0.992852633165568	0.993079504270134
Tg4510_TFEB_rep1	0.993226670909434	0.991304302453766	0.996206898151236	0.993148875298499	NA	0.992869226110612	0.993865541841499	0.992967904772764	0.98717931462769	0.992016154402512	0.99017913532435	0.991265139809339	0.991418671901136	0.987675199109298	0.989343072160438	0.993278280758653
Tg4510_TFEB_rep2	0.99799385449999	0.992026139095901	0.993914478514887	0.996855870583957	0.992869226110612	NA	0.996764917603591	0.995768666035181	0.991430458759043	0.993838023563812	0.996381897583373	0.9952038136405	0.99528132472041	0.994257678620295	0.995132797720683	0.994346742873981
Tg4510_TFEB_rep3	0.996382534067123	0.992277067277482	0.994965771744365	0.995457464686465	0.993865541841499	0.996764917603591	NA	0.996085452578818	0.992176897381606	0.996014315222616	0.995259575320041	0.996489739751382	0.995001709845443	0.993747199790327	0.995777788025254	0.994128678506464
Tg4510_TFEB_rep4	0.995509576362327	0.990968019996675	0.995059628974122	0.995014768100841	0.992967904772764	0.995768666035181	0.996085452578818	NA	0.990425218461175	0.994265919741543	0.996139793811294	0.995735820769271	0.995823807994527	0.994243169858736	0.992919808433147	0.994175862998979
WT_rep1	0.990372972990854	0.994472713852495	0.988469248625536	0.990449833091011	0.98717931462769	0.991430458759043	0.992176897381606	0.990425218461175	NA	0.993700239002355	0.99274307635923	0.993068654280995	0.990013204055312	0.989454698549184	0.991900136006633	0.988964966484433
WT_rep2	0.993075180910376	0.991702789031513	0.993659092583869	0.991971256103107	0.992016154402512	0.993838023563812	0.996014315222616	0.994265919741543	0.993700239002355	NA	0.992967698796497	0.997110532679175	0.994738070704602	0.99216665164123	0.9950810239803	0.99432363621469
WT_rep3	0.996086885362074	0.991448301418619	0.991926982591806	0.995926325633906	0.99017913532435	0.996381897583373	0.995259575320041	0.996139793811294	0.99274307635923	0.992967698796497	NA	0.995564684900151	0.995476239224233	0.996037510518692	0.99444494708144	0.993916931734869
WT_rep4	0.994185605879711	0.990878931306122	0.99270488809336	0.993299129572593	0.991265139809339	0.9952038136405	0.996489739751382	0.995735820769271	0.993068654280995	0.997110532679175	0.995564684900151	NA	0.995526947910478	0.99506949557884	0.995638353426251	0.994598090608157
WT_TFEB_rep1	0.995327855720562	0.989554808192177	0.993749751079256	0.994418467406833	0.991418671901136	0.99528132472041	0.995001709845443	0.995823807994527	0.990013204055312	0.994738070704602	0.995476239224233	0.995526947910478	NA	0.995430473216346	0.994157627720164	0.995566817746246
WT_TFEB_rep2	0.994027077947963	0.987475747912764	0.989182918241509	0.993237473104518	0.987675199109298	0.994257678620295	0.993747199790327	0.994243169858736	0.989454698549184	0.99216665164123	0.996037510518692	0.99506949557884	0.995430473216346	NA	0.993056209140719	0.993362019078542
WT_TFEB_rep3	0.994307466509841	0.988713530416145	0.990787484809018	0.992852633165568	0.989343072160438	0.995132797720683	0.995777788025254	0.992919808433147	0.991900136006633	0.9950810239803	0.99444494708144	0.995638353426251	0.994157627720164	0.993056209140719	NA	0.992809909731094
WT_TFEB_rep4	0.994102878730429	0.989013567372601	0.994506387118659	0.993079504270134	0.993278280758653	0.994346742873981	0.994128678506464	0.994175862998979	0.988964966484433	0.99432363621469	0.993916931734869	0.994598090608157	0.995566817746246	0.993362019078542	0.992809909731094	NA
