# 2018-03-29
# /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project//mixed_model_jackknife/random_intercept_include_NA_low_exp_rm//early//run4/
geneSymbol	up_pval	down_pval	up_padj	down_padj	up_rank	down_rank	Estimate	Std..Error	t.value	CI_2.5	CI_97.5	pvalue	chisq	chi_df	GSE48622_intercept	GSE64398_intercept	GSE63617_intercept	GSE48622_FE_Disease	GSE64398_FE_Disease	GSE63617_FE_Disease	FE_Gender	Gender	ME_model
Ascc1	0.022924843043531	0.977075156956469	0.829544429215278	0.999999984502223	300	10579	0.0572116910028735	0.0283933105647429	2.01497077533169	NA	NA	0.045849686087062	3.98710835883342	1	8.0434432917204	9.71128386086436	4.99438416363564	0.0572116910028735	0.0572116910028735	0.0572116910028735	NA	NA	random_intercept
Ascc2	0.879699573556286	0.120300426443714	0.999999344641076	0.838808434569852	9320	1559	-0.042639325236291	0.0362245273589093	-1.17708437749441	NA	NA	0.240600852887428	1.37707006533277	1	5.20610967025654	7.7085108350803	8.13184965558382	-0.042639325236291	-0.042639325236291	-0.042639325236291	NA	NA	random_intercept
Ascc3	0.380361902453999	0.619638097546001	0.999999344641076	0.97729784328047	3982	6897	0.0159871088418024	0.05245395974853	0.304783641091088	NA	NA	0.760723804907998	0.0927387893766891	1	6.57438530958818	NA	9.11332123183632	0.0159871088418024	NA	0.0159871088418024	NA	NA	random_intercept
Ascl1	0.301398684635657	0.698601315364343	0.999999344641076	0.987577644784499	3191	7688	0.028847878329845	0.0554027494090927	0.520693984279244	NA	NA	0.602797369271314	0.270797402014573	1	6.2221124485008	6.27619636580534	6.14114363200007	0.028847878329845	0.028847878329845	0.028847878329845	NA	NA	random_intercept
Asf1a	0.627867816715554	0.372132183284446	0.999999344641076	0.939099211035165	6570	4309	-0.0196165933365077	0.0600821268259005	-0.326496320500614	NA	NA	0.744264366568892	0.106413920813651	1	9.33599813606271	8.25217491826322	8.82015884869039	-0.0196165933365077	-0.0196165933365077	-0.0196165933365077	NA	NA	random_intercept
Asgr1	0.136624314200118	0.863375685799882	0.974638891046318	0.999999984502223	1524	9355	0.113292821738475	0.103051666680727	1.09937883964048	NA	NA	0.273248628400235	1.20036555235265	1	4.93112959869616	7.08645083174686	7.34627945564899	0.113292821738475	0.113292821738475	0.113292821738475	NA	NA	random_intercept
Ash1l	0.27993530978705	0.720064690212949	0.999999344641076	0.987577644784499	2960	7919	0.0695016303812049	0.11910941560625	0.583510799943494	NA	NA	0.559870619574101	0.33992828590408	1	10.3617569632968	6.015240609671	7.03813962861924	0.0695016303812049	0.0695016303812049	0.0695016303812049	NA	NA	random_intercept
Ash2l	0.086964662458776	0.913035337541224	0.935135684086997	0.999999984502223	1011	9868	0.0392759723575479	0.028750441433848	1.36609980225584	NA	NA	0.173929324917552	1.84874589286673	1	9.20540102808587	10.0736125793075	9.6453184226805	0.0392759723575479	0.0392759723575479	0.0392759723575479	NA	NA	random_intercept
Asic1	0.0892689990957704	0.91073100090423	0.937847846059625	0.999999984502223	1034	9845	0.0945292432968812	0.0699484237503071	1.35141348766227	NA	NA	0.178537998191541	1.80975187069505	1	8.40253968881185	9.84357042589571	8.6061973972784	0.0945292432968812	0.0945292432968812	0.0945292432968812	NA	NA	random_intercept
Asic2	0.490335000188307	0.509664999811693	0.999999344641076	0.962784915988622	5124	5755	0.000744227895971516	0.0307150397309719	0.0242300808493197	NA	NA	0.980670000376614	0.000587041153465861	1	9.22777735763401	9.41775970443863	10.5702200724248	0.000744227895971516	0.000744227895971516	0.000744227895971516	NA	NA	random_intercept
Asl	0.485092564364118	0.514907435635882	0.999999344641076	0.962784915988622	5068	5811	0.00203220712934155	0.0543645728503083	0.0373810925533654	NA	NA	0.970185128728235	0.00139697285695206	1	7.11376323393865	7.26438856573822	8.44567587206972	0.00203220712934155	0.00203220712934155	0.00203220712934155	NA	NA	random_intercept
Asna1	0.672081919125654	0.327918080874346	0.999999344641076	0.929432931093984	7050	3829	-0.0117291815724163	0.0263059555431291	-0.445875518689527	NA	NA	0.655836161748691	0.198621102771412	1	11.2361591713525	11.7363306046157	8.07902021588454	-0.0117291815724163	-0.0117291815724163	-0.0117291815724163	NA	NA	random_intercept
Asns	0.782846441651989	0.217153558348011	0.999999344641076	0.883824002545162	8207	2672	-0.0349764855752689	0.0446679586317563	-0.783032998297861	NA	NA	0.434307116696022	0.611277758616177	1	11.3078692432831	11.9740499973535	12.3807054468131	-0.0349764855752689	-0.0349764855752689	-0.0349764855752689	NA	NA	random_intercept
Asnsd1	0.153724181825532	0.846275818174468	0.998171116323033	0.999999984502223	1674	9205	0.0571988373154879	0.055913998187417	1.02297884554355	NA	NA	0.307448363651065	1.04160552249476	1	8.77313150333653	6.39128417655858	9.49780128236809	0.0571988373154879	0.0571988373154879	0.0571988373154879	NA	NA	random_intercept
Aspdh	0.0733053479637626	0.926694652036237	0.930499244056854	0.999999984502223	853	10026	0.06620303656495	0.0453844911027189	1.45871496972638	NA	NA	0.146610695927525	2.10716512961626	1	5.34979195105946	7.96091483468593	5.26925005310409	0.06620303656495	0.06620303656495	0.06620303656495	NA	NA	random_intercept
Aspg	0.21932362485817	0.78067637514183	0.999999344641076	0.995710845756059	2352	8527	0.0511703440000524	0.0659654188184291	0.775714683793636	NA	NA	0.438647249716341	0.599818592273905	1	5.38198897704201	6.38575627528906	7.9516100737871	0.0511703440000524	0.0511703440000524	0.0511703440000524	NA	NA	random_intercept
Asph	0.827445393245289	0.172554606754711	0.999999344641076	0.862614435789404	8703	2176	-0.0349669178305511	0.0369564065908583	-0.946166606988264	NA	NA	0.345109213509421	0.891359309886965	1	10.0048343434902	7.70074852348933	8.96780396033956	-0.0349669178305511	-0.0349669178305511	-0.0349669178305511	NA	NA	random_intercept
Asphd1	0.243998759455355	0.756001240544645	0.999999344641076	0.992061679691902	2591	8288	0.0295619590007402	0.0425132036119989	0.695359476329764	NA	NA	0.48799751891071	0.480938506757347	1	9.74437632919351	10.2854106759508	10.2080110787639	0.0295619590007402	0.0295619590007402	0.0295619590007402	NA	NA	random_intercept
